Banco,Contrato,Origen,Tipo archivo recaudo,periodo,mes,Valor pago,Año_mes
abu dhabi commercial bank,impuesto predial,n,pagos web,2023,2,3958629,2023-02-01
abu dhabi commercial bank,impuesto predial,p,pagos web,2021,2,224933,2021-02-01
abu dhabi commercial bank,impuesto predial,p,pagos web,2021,8,461981,2021-08-01
abu dhabi commercial bank,impuesto predial,p,pagos web,2022,7,506462,2022-07-01
abu dhabi commercial bank,impuesto predial,p,pagos web,2022,8,3135853,2022-08-01
abu dhabi commercial bank,impuesto predial,p,pagos web,2023,5,603544,2023-05-01
abu dhabi commercial bank,impuesto predial,p,pagos web,2023,8,603544,2023-08-01
abu dhabi commercial bank,impuesto predial,p,pagos web,2023,11,603544,2023-11-01
adcb,impuesto predial,p,pagos web,2022,11,41332,2022-11-01
adcb,impuesto predial,p,pagos web,2023,8,3304610,2023-08-01
advancial f.c.u.,impuesto predial,p,pagos web,2023,10,3436960,2023-10-01
aec mexico sa de cv - gstar co,impuesto predial,n,pagos web,2023,2,11886119,2023-02-01
aec mexico sa de cv - gstar co,impuesto predial,p,pagos web,2022,8,1568593,2022-08-01
aec mexico sa de cv - gstar co,impuesto predial,p,pagos web,2022,9,7378060,2022-09-01
aec mexico sa de cv - gstar co,impuesto predial,p,pagos web,2023,3,1586489,2023-03-01
aeromexico,impuesto predial,p,pagos web,2021,5,12214674,2021-05-01
allied irish banks plc,impuesto predial,p,pagos web,2023,3,15182836,2023-03-01
altra f.c.u.,impuesto predial,n,pagos web,2023,2,1390550,2023-02-01
american airlines f.c.u.,impuesto predial,p,pagos web,2023,2,1638001,2023-02-01
american airlines f.c.u.,impuesto predial,p,pagos web,2023,11,7704457,2023-11-01
american express,impuesto predial,a,pagos web,2023,9,334,2023-09-01
american express,impuesto predial,n,pagos web,2023,8,111866,2023-08-01
american express,impuesto predial,n,pagos web,2023,9,9634684,2023-09-01
american express,impuesto predial,p,pagos web,2022,5,4075470,2022-05-01
american express,impuesto predial,p,pagos web,2022,10,3402003,2022-10-01
american express,impuesto predial,p,pagos web,2023,2,4780529,2023-02-01
american express,impuesto predial,p,pagos web,2023,5,242612,2023-05-01
american express,impuesto predial,p,pagos web,2023,9,487016,2023-09-01
american express company,facilidades,n,pagos web,2023,2,3070812,2023-02-01
american express company,facilidades,n,pagos web,2023,3,12383087,2023-03-01
american express company,facilidades,n,pagos web,2023,6,5727947,2023-06-01
american express company,facilidades,p,pagos web,2022,6,138531,2022-06-01
american express company,facilidades,p,pagos web,2022,8,138531,2022-08-01
american express company,facilidades,p,pagos web,2022,9,138531,2022-09-01
american express company,facilidades,p,pagos web,2022,10,138531,2022-10-01
american express company,facilidades,p,pagos web,2022,11,138531,2022-11-01
american express company,facilidades,p,pagos web,2022,12,138531,2022-12-01
american express company,facilidades,p,pagos web,2023,2,5870903,2023-02-01
american express company,impuesto predial,a,pagos web,2022,8,1375494,2022-08-01
american express company,impuesto predial,a,pagos web,2023,2,6592186,2023-02-01
american express company,impuesto predial,a,pagos web,2023,11,6883468,2023-11-01
american express company,impuesto predial,n,pagos web,2022,9,1480766,2022-09-01
american express company,impuesto predial,n,pagos web,2022,10,7026301,2022-10-01
american express company,impuesto predial,n,pagos web,2023,1,4460998,2023-01-01
american express company,impuesto predial,n,pagos web,2023,2,23855014,2023-02-01
american express company,impuesto predial,n,pagos web,2023,3,5750604,2023-03-01
american express company,impuesto predial,n,pagos web,2023,8,2007412,2023-08-01
american express company,impuesto predial,n,pagos web,2023,9,5307170,2023-09-01
american express company,impuesto predial,p,pagos web,2021,4,3407814,2021-04-01
american express company,impuesto predial,p,pagos web,2021,8,3937778,2021-08-01
american express company,impuesto predial,p,pagos web,2021,9,17050444,2021-09-01
american express company,impuesto predial,p,pagos web,2021,11,3407814,2021-11-01
american express company,impuesto predial,p,pagos web,2022,5,336177,2022-05-01
american express company,impuesto predial,p,pagos web,2022,6,2455704,2022-06-01
american express company,impuesto predial,p,pagos web,2022,7,2300527,2022-07-01
american express company,impuesto predial,p,pagos web,2022,8,1381721,2022-08-01
american express company,impuesto predial,p,pagos web,2022,9,434996,2022-09-01
american express company,impuesto predial,p,pagos web,2022,10,2173487,2022-10-01
american express company,impuesto predial,p,pagos web,2022,11,1244916,2022-11-01
american express company,impuesto predial,p,pagos web,2022,12,21124186,2022-12-01
american express company,impuesto predial,p,pagos web,2023,1,12889663,2023-01-01
american express company,impuesto predial,p,pagos web,2023,2,42365193,2023-02-01
american express company,impuesto predial,p,pagos web,2023,3,35636918,2023-03-01
american express company,impuesto predial,p,pagos web,2023,4,31650126,2023-04-01
american express company,impuesto predial,p,pagos web,2023,5,9199451,2023-05-01
american express company,impuesto predial,p,pagos web,2023,6,14971235,2023-06-01
american express company,impuesto predial,p,pagos web,2023,7,28555516,2023-07-01
american express company,impuesto predial,p,pagos web,2023,8,38955857,2023-08-01
american express company,impuesto predial,p,pagos web,2023,9,752246,2023-09-01
american express company,impuesto predial,p,pagos web,2023,10,18311334,2023-10-01
american express company,impuesto predial,p,pagos web,2023,11,13162264,2023-11-01
american express company,impuesto predial,p,pagos web,2023,12,2197318,2023-12-01
american express company,impuesto predial,w,pagos web,2023,9,516035,2023-09-01
american express company,industria y comercio,n,pagos web,2023,2,9121451,2023-02-01
american express company,industria y comercio,n,pagos web,2023,9,14081822,2023-09-01
american express company,industria y comercio,p,pagos web,2022,11,110686,2022-11-01
american express company us,impuesto predial,p,pagos web,2023,2,27568532,2023-02-01
american express idc consumer,impuesto predial,p,pagos web,2023,8,9896770,2023-08-01
american express us,impuesto predial,n,pagos web,2022,11,40954,2022-11-01
american express us,impuesto predial,n,pagos web,2023,2,49235,2023-02-01
american express us,impuesto predial,n,pagos web,2023,3,8820564,2023-03-01
american express us,impuesto predial,n,pagos web,2023,10,10763703,2023-10-01
american express us,impuesto predial,p,pagos web,2021,8,159585,2021-08-01
american express us,impuesto predial,p,pagos web,2021,10,350780,2021-10-01
american express us,impuesto predial,p,pagos web,2022,6,3476282,2022-06-01
american express us,impuesto predial,p,pagos web,2022,7,5486234,2022-07-01
american express us,impuesto predial,p,pagos web,2022,8,728930,2022-08-01
american express us,impuesto predial,p,pagos web,2022,9,596507,2022-09-01
american express us,impuesto predial,p,pagos web,2023,1,6713072,2023-01-01
american express us,impuesto predial,p,pagos web,2023,2,10347494,2023-02-01
american express us,impuesto predial,p,pagos web,2023,3,21516707,2023-03-01
american express us,impuesto predial,p,pagos web,2023,4,497905,2023-04-01
american express us,impuesto predial,p,pagos web,2023,5,1495475,2023-05-01
american express us,impuesto predial,p,pagos web,2023,7,4506840,2023-07-01
american express us,impuesto predial,p,pagos web,2023,8,374294,2023-08-01
american express us consumer,delineación urbana,n,pagos web,2023,6,13277630,2023-06-01
american express us consumer,facilidades,a,pagos web,2023,2,243823,2023-02-01
american express us consumer,facilidades,n,pagos web,2023,6,2674517,2023-06-01
american express us consumer,facilidades,p,pagos web,2023,2,5219138,2023-02-01
american express us consumer,facilidades,p,pagos web,2023,5,18719044,2023-05-01
american express us consumer,facilidades,p,pagos web,2023,6,11868434,2023-06-01
american express us consumer,impuesto predial,a,pagos web,2023,1,850809,2023-01-01
american express us consumer,impuesto predial,a,pagos web,2023,2,85170,2023-02-01
american express us consumer,impuesto predial,a,pagos web,2023,3,2244724,2023-03-01
american express us consumer,impuesto predial,a,pagos web,2023,4,18567550,2023-04-01
american express us consumer,impuesto predial,n,pagos web,2022,10,10718442,2022-10-01
american express us consumer,impuesto predial,n,pagos web,2022,12,2673433,2022-12-01
american express us consumer,impuesto predial,n,pagos web,2023,1,1179746,2023-01-01
american express us consumer,impuesto predial,n,pagos web,2023,2,10076228,2023-02-01
american express us consumer,impuesto predial,n,pagos web,2023,3,48506235,2023-03-01
american express us consumer,impuesto predial,n,pagos web,2023,4,1891873,2023-04-01
american express us consumer,impuesto predial,n,pagos web,2023,8,5103800,2023-08-01
american express us consumer,impuesto predial,n,pagos web,2023,9,4439203,2023-09-01
american express us consumer,impuesto predial,p,pagos web,2021,6,3959571,2021-06-01
american express us consumer,impuesto predial,p,pagos web,2022,2,880854,2022-02-01
american express us consumer,impuesto predial,p,pagos web,2022,5,18999990,2022-05-01
american express us consumer,impuesto predial,p,pagos web,2022,6,6877650,2022-06-01
american express us consumer,impuesto predial,p,pagos web,2022,7,5121929,2022-07-01
american express us consumer,impuesto predial,p,pagos web,2022,8,4689212,2022-08-01
american express us consumer,impuesto predial,p,pagos web,2022,10,1087599,2022-10-01
american express us consumer,impuesto predial,p,pagos web,2022,11,912412,2022-11-01
american express us consumer,impuesto predial,p,pagos web,2023,1,10963685,2023-01-01
american express us consumer,impuesto predial,p,pagos web,2023,2,85075178,2023-02-01
american express us consumer,impuesto predial,p,pagos web,2023,3,28061181,2023-03-01
american express us consumer,impuesto predial,p,pagos web,2023,4,13691841,2023-04-01
american express us consumer,impuesto predial,p,pagos web,2023,5,16262829,2023-05-01
american express us consumer,impuesto predial,p,pagos web,2023,6,598576,2023-06-01
american express us consumer,impuesto predial,p,pagos web,2023,7,14668706,2023-07-01
american express us consumer,impuesto predial,p,pagos web,2023,8,34736062,2023-08-01
american express us consumer,impuesto predial,p,pagos web,2023,9,21566935,2023-09-01
american express us consumer,impuesto predial,p,pagos web,2023,10,15724256,2023-10-01
american express us consumer,impuesto predial,p,pagos web,2023,11,11048176,2023-11-01
american express us consumer,industria y comercio,n,pagos web,2023,6,14351422,2023-06-01
american express us consumer,industria y comercio,p,pagos web,2023,10,336232,2023-10-01
american express us consumer,industria y comercio,p,pagos web,2023,11,871372,2023-11-01
american gateway bank,impuesto predial,p,pagos web,2020,3,636496,2020-03-01
amex - amex,impuesto predial,n,pagos web,2023,2,7787864,2023-02-01
amex - amex,impuesto predial,n,pagos web,2023,8,6216313,2023-08-01
amex - amex,impuesto predial,p,pagos web,2022,7,479788,2022-07-01
amex - amex,impuesto predial,p,pagos web,2022,9,33250,2022-09-01
amex - amex,impuesto predial,p,pagos web,2022,10,258240,2022-10-01
amex - amex,impuesto predial,p,pagos web,2023,1,13095935,2023-01-01
amex - amex,impuesto predial,p,pagos web,2023,2,1411703,2023-02-01
amex - amex,impuesto predial,p,pagos web,2023,3,467084,2023-03-01
amex - amex,impuesto predial,p,pagos web,2023,4,3465042,2023-04-01
amex - amex,impuesto predial,p,pagos web,2023,10,1987197,2023-10-01
amex - amex,industria y comercio,p,pagos web,2022,9,6148,2022-09-01
amex canada globestar,impuesto predial,p,pagos web,2023,2,2954383,2023-02-01
amex canada globestar,impuesto predial,p,pagos web,2023,3,655921,2023-03-01
amex canada globestar,impuesto predial,p,pagos web,2023,9,1667165,2023-09-01
amex canada globestar,industria y comercio,p,pagos web,2023,7,2192560,2023-07-01
amex espana card globestar cha,impuesto predial,p,pagos web,2022,5,162556,2022-05-01
amex espana card globestar cha,impuesto predial,p,pagos web,2022,6,486134,2022-06-01
amex espana card globestar cha,impuesto predial,p,pagos web,2023,2,127942,2023-02-01
aruba bank n.v.,impuesto predial,n,pagos web,2023,2,4610471,2023-02-01
"aruba bank, n.v.",impuesto predial,p,pagos web,2023,2,2160266,2023-02-01
asb bank,impuesto predial,p,pagos web,2023,3,1062864,2023-03-01
asociacion gremial de instituc,facilidades,p,pagos web,2021,12,6415220,2021-12-01
asociacion gremial de instituc,impuesto predial,p,pagos web,2020,11,1874808,2020-11-01
asociacion gremial de instituc,impuesto predial,p,pagos web,2020,12,810365,2020-12-01
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,1,4620157,2021-01-01
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,2,5737077,2021-02-01
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,3,8979344,2021-03-01
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,4,804133,2021-04-01
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,5,3606200,2021-05-01
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,6,137139,2021-06-01
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,7,289931,2021-07-01
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,9,1225549,2021-09-01
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,10,451215,2021-10-01
asociacion gremial de instituc,impuesto predial,p,pagos web,2021,12,1875215,2021-12-01
asociacion gremial de instituc,impuesto predial,p,pagos web,2022,2,28038569,2022-02-01
asociacion gremial de instituc,impuesto predial,p,pagos web,2022,3,16762742,2022-03-01
asociacion gremial de instituc,industria y comercio,p,pagos web,2020,11,938353,2020-11-01
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,1,43398,2021-01-01
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,3,72000,2021-03-01
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,4,315100,2021-04-01
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,5,207025,2021-05-01
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,6,25300,2021-06-01
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,7,25300,2021-07-01
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,8,25300,2021-08-01
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,9,25300,2021-09-01
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,10,25300,2021-10-01
asociacion gremial de instituc,industria y comercio,p,pagos web,2021,11,61300,2021-11-01
asociacion gremial de instituc,industria y comercio,p,pagos web,2022,3,107704,2022-03-01
australia and new zealand bank,impuesto predial,p,pagos web,2023,3,376851,2023-03-01
av villas,circulacion y transito,a,pagos web,2020,7,29725,2020-07-01
av villas,facilidades,p,pagos web,2020,6,129056,2020-06-01
av villas,facilidades,p,pagos web,2020,7,14519515,2020-07-01
av villas,facilidades,p,pagos web,2020,8,7603722,2020-08-01
av villas,facilidades,p,pagos web,2020,9,17177072,2020-09-01
av villas,facilidades,p,pagos web,2020,10,19628923,2020-10-01
av villas,impuesto predial,a,pagos web,2020,1,722247,2020-01-01
av villas,impuesto predial,a,pagos web,2020,2,1712338,2020-02-01
av villas,impuesto predial,a,pagos web,2020,3,628288,2020-03-01
av villas,impuesto predial,a,pagos web,2020,6,247981,2020-06-01
av villas,impuesto predial,a,pagos web,2020,8,1503048,2020-08-01
av villas,impuesto predial,a,pagos web,2020,9,217443,2020-09-01
av villas,impuesto predial,p,pagos web,2020,1,24854200,2020-01-01
av villas,impuesto predial,p,pagos web,2020,2,32351752,2020-02-01
av villas,impuesto predial,p,pagos web,2020,3,36861269,2020-03-01
av villas,impuesto predial,p,pagos web,2020,4,1134396,2020-04-01
av villas,impuesto predial,p,pagos web,2020,5,21889603,2020-05-01
av villas,impuesto predial,p,pagos web,2020,6,17529239,2020-06-01
av villas,impuesto predial,p,pagos web,2020,7,5135031,2020-07-01
av villas,impuesto predial,p,pagos web,2020,8,9830270,2020-08-01
av villas,impuesto predial,p,pagos web,2020,9,4836661,2020-09-01
av villas,impuesto predial,p,pagos web,2020,10,11830128,2020-10-01
av villas,impuesto predial,p,pagos web,2020,11,3394239,2020-11-01
av villas,industria y comercio,a,pagos web,2020,3,109349,2020-03-01
av villas,industria y comercio,a,pagos web,2020,10,397670,2020-10-01
av villas,industria y comercio,p,pagos web,2020,1,878553,2020-01-01
av villas,industria y comercio,p,pagos web,2020,2,927098,2020-02-01
av villas,industria y comercio,p,pagos web,2020,3,13702023,2020-03-01
av villas,industria y comercio,p,pagos web,2020,6,734719,2020-06-01
av villas,industria y comercio,p,pagos web,2020,7,2576070,2020-07-01
av villas,industria y comercio,p,pagos web,2020,8,8645787,2020-08-01
av villas,industria y comercio,p,pagos web,2020,9,34580291,2020-09-01
av villas,industria y comercio,p,pagos web,2020,10,11764084,2020-10-01
av villas,otros ingresos,p,pagos web,2020,9,150000,2020-09-01
aval soluciones digitales s.a.,impuesto predial,n,pagos web,2023,9,63891,2023-09-01
aval soluciones digitales s.a.,impuesto predial,p,pagos web,2022,2,25273,2022-02-01
aval soluciones digitales s.a.,impuesto predial,p,pagos web,2022,6,86826,2022-06-01
aval soluciones digitales s.a.,impuesto predial,p,pagos web,2023,2,256675,2023-02-01
aval soluciones digitales s.a.,impuesto predial,p,pagos web,2023,3,286655,2023-03-01
aval soluciones digitales s.a.,impuesto predial,p,pagos web,2023,5,1234,2023-05-01
aval soluciones digitales s.a.,impuesto predial,p,pagos web,2023,8,22241,2023-08-01
aval soluciones digitales s.a.,impuesto predial,p,pagos web,2023,12,2415,2023-12-01
aval soluciones digitales s.a.,industria y comercio,p,pagos web,2023,8,57500,2023-08-01
avvillas,alumbrado publico,presencial,pagos presencial,2022,3,37966,2022-03-01
avvillas,alumbrado publico,presencial,pagos presencial,2022,4,3994753,2022-04-01
avvillas,alumbrado publico,presencial,pagos presencial,2022,5,33477,2022-05-01
avvillas,alumbrado publico,presencial,pagos presencial,2022,6,4090085,2022-06-01
avvillas,alumbrado publico,presencial,pagos presencial,2022,7,3677153,2022-07-01
avvillas,alumbrado publico,presencial,pagos presencial,2022,8,4956305,2022-08-01
avvillas,alumbrado publico,presencial,pagos presencial,2022,9,37940,2022-09-01
avvillas,alumbrado publico,presencial,pagos presencial,2022,10,160250,2022-10-01
avvillas,alumbrado publico,presencial,pagos presencial,2022,11,276341,2022-11-01
avvillas,alumbrado publico,presencial,pagos presencial,2022,12,494549,2022-12-01
avvillas,alumbrado publico,presencial,pagos presencial,2023,2,521023,2023-02-01
avvillas,alumbrado publico,presencial,pagos presencial,2023,3,37258000,2023-03-01
avvillas,alumbrado publico,presencial,pagos presencial,2023,4,1307540,2023-04-01
avvillas,alumbrado publico,presencial,pagos presencial,2023,5,104639,2023-05-01
avvillas,alumbrado publico,presencial,pagos presencial,2023,6,1163657,2023-06-01
avvillas,alumbrado publico,presencial,pagos presencial,2023,8,275624,2023-08-01
avvillas,alumbrado publico,presencial,pagos presencial,2023,10,81270,2023-10-01
avvillas,alumbrado publico,presencial,pagos presencial,2023,11,39686000,2023-11-01
avvillas,alumbrado publico,presencial,pagos presencial,2023,12,1539613,2023-12-01
avvillas,aprov.esp.pub,presencial,pagos presencial,2022,7,8154310,2022-07-01
avvillas,aprov.esp.pub,presencial,pagos presencial,2022,9,121005,2022-09-01
avvillas,aprov.esp.pub,presencial,pagos presencial,2023,3,1101924,2023-03-01
avvillas,aprov.esp.pub,presencial,pagos presencial,2023,11,93264,2023-11-01
avvillas,aprov.esp.pub,presencial,pagos presencial,2023,12,260000,2023-12-01
avvillas,circulacion y transito,presencial,pagos presencial,2022,2,69420,2022-02-01
avvillas,circulacion y transito,presencial,pagos presencial,2022,3,814820,2022-03-01
avvillas,circulacion y transito,presencial,pagos presencial,2022,4,4722457,2022-04-01
avvillas,circulacion y transito,presencial,pagos presencial,2022,5,13819,2022-05-01
avvillas,circulacion y transito,presencial,pagos presencial,2022,6,1453208,2022-06-01
avvillas,circulacion y transito,presencial,pagos presencial,2022,7,1272622,2022-07-01
avvillas,circulacion y transito,presencial,pagos presencial,2022,8,94952,2022-08-01
avvillas,circulacion y transito,presencial,pagos presencial,2022,9,69793,2022-09-01
avvillas,circulacion y transito,presencial,pagos presencial,2022,10,1207458,2022-10-01
avvillas,circulacion y transito,presencial,pagos presencial,2022,11,360029,2022-11-01
avvillas,circulacion y transito,presencial,pagos presencial,2022,12,1979505,2022-12-01
avvillas,circulacion y transito,presencial,pagos presencial,2023,1,51890,2023-01-01
avvillas,circulacion y transito,presencial,pagos presencial,2023,2,3572032,2023-02-01
avvillas,circulacion y transito,presencial,pagos presencial,2023,3,11168041,2023-03-01
avvillas,circulacion y transito,presencial,pagos presencial,2023,4,13943115,2023-04-01
avvillas,circulacion y transito,presencial,pagos presencial,2023,5,3993856,2023-05-01
avvillas,circulacion y transito,presencial,pagos presencial,2023,6,1770302,2023-06-01
avvillas,circulacion y transito,presencial,pagos presencial,2023,7,692414,2023-07-01
avvillas,circulacion y transito,presencial,pagos presencial,2023,8,177414,2023-08-01
avvillas,circulacion y transito,presencial,pagos presencial,2023,9,327498,2023-09-01
avvillas,circulacion y transito,presencial,pagos presencial,2023,10,420652,2023-10-01
avvillas,circulacion y transito,presencial,pagos presencial,2023,11,403821,2023-11-01
avvillas,delineación urbana,presencial,pagos presencial,2022,4,1259000,2022-04-01
avvillas,delineación urbana,presencial,pagos presencial,2022,5,192000,2022-05-01
avvillas,delineación urbana,presencial,pagos presencial,2022,6,336550000,2022-06-01
avvillas,delineación urbana,presencial,pagos presencial,2022,7,378000,2022-07-01
avvillas,delineación urbana,presencial,pagos presencial,2022,8,1219000,2022-08-01
avvillas,delineación urbana,presencial,pagos presencial,2022,9,5326000,2022-09-01
avvillas,delineación urbana,presencial,pagos presencial,2022,10,1919000,2022-10-01
avvillas,delineación urbana,presencial,pagos presencial,2022,11,4499000,2022-11-01
avvillas,delineación urbana,presencial,pagos presencial,2022,12,4334000,2022-12-01
avvillas,delineación urbana,presencial,pagos presencial,2023,1,1754600,2023-01-01
avvillas,delineación urbana,presencial,pagos presencial,2023,2,5672050,2023-02-01
avvillas,delineación urbana,presencial,pagos presencial,2023,3,10783460,2023-03-01
avvillas,delineación urbana,presencial,pagos presencial,2023,4,4506840,2023-04-01
avvillas,delineación urbana,presencial,pagos presencial,2023,5,862420,2023-05-01
avvillas,delineación urbana,presencial,pagos presencial,2023,6,21769150,2023-06-01
avvillas,delineación urbana,presencial,pagos presencial,2023,7,61145150,2023-07-01
avvillas,delineación urbana,presencial,pagos presencial,2023,8,2685700,2023-08-01
avvillas,delineación urbana,presencial,pagos presencial,2023,9,802583460,2023-09-01
avvillas,delineación urbana,presencial,pagos presencial,2023,10,3376920,2023-10-01
avvillas,delineación urbana,presencial,pagos presencial,2023,11,18034850,2023-11-01
avvillas,delineación urbana,presencial,pagos presencial,2023,12,2495240,2023-12-01
avvillas,impuesto predial,presencial,pagos presencial,2022,2,2807400,2022-02-01
avvillas,impuesto predial,presencial,pagos presencial,2022,3,11558995,2022-03-01
avvillas,impuesto predial,presencial,pagos presencial,2022,4,6206383,2022-04-01
avvillas,impuesto predial,presencial,pagos presencial,2022,5,16290222,2022-05-01
avvillas,impuesto predial,presencial,pagos presencial,2022,6,17920862,2022-06-01
avvillas,impuesto predial,presencial,pagos presencial,2022,7,17409395,2022-07-01
avvillas,impuesto predial,presencial,pagos presencial,2022,8,18282288,2022-08-01
avvillas,impuesto predial,presencial,pagos presencial,2022,9,13579183,2022-09-01
avvillas,impuesto predial,presencial,pagos presencial,2022,10,14278947,2022-10-01
avvillas,impuesto predial,presencial,pagos presencial,2022,11,9905818,2022-11-01
avvillas,impuesto predial,presencial,pagos presencial,2022,12,18696071,2022-12-01
avvillas,impuesto predial,presencial,pagos presencial,2023,1,5676396,2023-01-01
avvillas,impuesto predial,presencial,pagos presencial,2023,2,10310776,2023-02-01
avvillas,impuesto predial,presencial,pagos presencial,2023,3,10650550,2023-03-01
avvillas,impuesto predial,presencial,pagos presencial,2023,4,12511645,2023-04-01
avvillas,impuesto predial,presencial,pagos presencial,2023,5,15325483,2023-05-01
avvillas,impuesto predial,presencial,pagos presencial,2023,6,17275926,2023-06-01
avvillas,impuesto predial,presencial,pagos presencial,2023,7,13059049,2023-07-01
avvillas,impuesto predial,presencial,pagos presencial,2023,8,13899199,2023-08-01
avvillas,impuesto predial,presencial,pagos presencial,2023,9,19280924,2023-09-01
avvillas,impuesto predial,presencial,pagos presencial,2023,10,8807914,2023-10-01
avvillas,impuesto predial,presencial,pagos presencial,2023,11,36736984,2023-11-01
avvillas,impuesto predial,presencial,pagos presencial,2023,12,14536069,2023-12-01
avvillas,impuesto telefonico,presencial,pagos presencial,2022,7,241309,2022-07-01
avvillas,impuesto telefonico,presencial,pagos presencial,2022,10,13063,2022-10-01
avvillas,impuesto telefonico,presencial,pagos presencial,2022,11,3816,2022-11-01
avvillas,impuesto telefonico,presencial,pagos presencial,2022,12,419029,2022-12-01
avvillas,impuesto telefonico,presencial,pagos presencial,2023,5,210358,2023-05-01
avvillas,impuesto telefonico,presencial,pagos presencial,2023,6,153294,2023-06-01
avvillas,impuesto telefonico,presencial,pagos presencial,2023,10,26976,2023-10-01
avvillas,industria y comercio,presencial,pagos presencial,2022,2,140048,2022-02-01
avvillas,industria y comercio,presencial,pagos presencial,2022,3,19313445,2022-03-01
avvillas,industria y comercio,presencial,pagos presencial,2022,4,17273921,2022-04-01
avvillas,industria y comercio,presencial,pagos presencial,2022,5,36368613,2022-05-01
avvillas,industria y comercio,presencial,pagos presencial,2022,6,38220659,2022-06-01
avvillas,industria y comercio,presencial,pagos presencial,2022,7,26659653,2022-07-01
avvillas,industria y comercio,presencial,pagos presencial,2022,8,16242304,2022-08-01
avvillas,industria y comercio,presencial,pagos presencial,2022,9,23248898,2022-09-01
avvillas,industria y comercio,presencial,pagos presencial,2022,10,18411607,2022-10-01
avvillas,industria y comercio,presencial,pagos presencial,2022,11,20286211,2022-11-01
avvillas,industria y comercio,presencial,pagos presencial,2022,12,13779466,2022-12-01
avvillas,industria y comercio,presencial,pagos presencial,2023,1,11689073,2023-01-01
avvillas,industria y comercio,presencial,pagos presencial,2023,2,65837725,2023-02-01
avvillas,industria y comercio,presencial,pagos presencial,2023,3,3253633,2023-03-01
avvillas,industria y comercio,presencial,pagos presencial,2023,4,6605284,2023-04-01
avvillas,industria y comercio,presencial,pagos presencial,2023,5,3451174,2023-05-01
avvillas,industria y comercio,presencial,pagos presencial,2023,6,9223731,2023-06-01
avvillas,industria y comercio,presencial,pagos presencial,2023,7,451814,2023-07-01
avvillas,industria y comercio,presencial,pagos presencial,2023,8,3165704,2023-08-01
avvillas,industria y comercio,presencial,pagos presencial,2023,9,3457636,2023-09-01
avvillas,industria y comercio,presencial,pagos presencial,2023,10,6575320,2023-10-01
avvillas,industria y comercio,presencial,pagos presencial,2023,11,7481439,2023-11-01
avvillas,industria y comercio,presencial,pagos presencial,2023,12,5446376,2023-12-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2022,2,275736,2022-02-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2022,4,1944243,2022-04-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2022,5,6517,2022-05-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2022,7,3386607,2022-07-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2022,8,3810574,2022-08-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2022,9,3706914,2022-09-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2022,10,4172955,2022-10-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2022,11,3006607,2022-11-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2022,12,4164917,2022-12-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,1,3138835,2023-01-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,2,4516752,2023-02-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,3,3892522,2023-03-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,4,7414638,2023-04-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,5,3714026,2023-05-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,6,3975307,2023-06-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,7,3480860,2023-07-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,8,4286096,2023-08-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,9,869779,2023-09-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,10,3271063,2023-10-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,11,3271063,2023-11-01
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,12,6277670,2023-12-01
avvillas,otros ingresos,presencial,pagos presencial,2022,11,61299,2022-11-01
avvillas,otros ingresos,presencial,pagos presencial,2022,12,61299,2022-12-01
