Banco,Contrato,Origen,Tipo archivo recaudo,periodo,Mes,Total recaudo,Total transacciones
banco de occidente,transferencias,p,pagos web,2021,3,46966010,3
banco de occidente,transferencias,p,pagos web,2021,4,46593926,2
banco de occidente,transferencias,p,pagos web,2021,5,44304992,2
banco de occidente,transferencias,p,pagos web,2021,6,44304992,2
banco de occidente,transferencias,p,pagos web,2021,7,44304992,2
banco de occidente,transferencias,p,pagos web,2021,8,46966010,3
banco de occidente,transferencias,p,pagos web,2021,9,44127377,2
banco de occidente,transferencias,p,pagos web,2021,10,44879034,3
banco de occidente,transferencias,p,pagos web,2021,11,44879034,3
banco de occidente,transferencias,p,pagos web,2021,12,16746622,2
banco de occidente,transferencias,p,pagos web,2022,1,44793273,2
banco de occidente,transferencias,p,pagos web,2022,2,49085349,4
banco de occidente,transferencias,p,pagos web,2022,3,46939311,3
banco de occidente,transferencias,p,pagos web,2022,4,61393212,4
banco de occidente,transferencias,p,pagos web,2022,5,46939311,3
banco de occidente,transferencias,p,pagos web,2022,6,46939311,3
banco de occidente,transferencias,p,pagos web,2022,7,44793273,2
banco de occidente,transferencias,p,pagos web,2022,8,44793273,2
banco de occidente,transferencias,p,pagos web,2022,9,137565939,4
banco de occidente,transferencias,p,pagos web,2022,10,31817941,2
banco de occidente,transferencias,p,pagos web,2022,11,33761772,2
banco de occidente,transferencias,p,pagos web,2022,12,378521,1
banco de occidente,transferencias,p,pagos web,2023,1,2884001,2
banco de occidente,transferencias,p,pagos web,2023,2,93179843,3
banco de occidente,transferencias,p,pagos web,2023,3,47836118,2
banco de occidente,transferencias,p,pagos web,2023,4,48227726,3
banco de occidente,transferencias,p,pagos web,2023,5,2993383,1
banco de occidente,transferencias,p,pagos web,2023,6,47836118,2
banco de occidente,transferencias,p,pagos web,2023,7,47836118,2
banco de occidente,transferencias,p,pagos web,2023,8,45735333,2
banco de occidente,transferencias,p,pagos web,2023,9,41734557,3
banco de occidente,transferencias,p,pagos web,2023,10,41734557,3
banco de occidente,transferencias,p,pagos web,2023,11,41734557,3
banco de occidente,transferencias,p,pagos web,2023,12,49935411,5
"banco de occidente (panama), s",impuesto predial,p,pagos web,2020,1,1506301,1
"banco de occidente (panama), s",impuesto predial,p,pagos web,2020,2,6458346,2
"banco de occidente (panama), s",impuesto predial,p,pagos web,2020,3,2726157,1
banco de occidente s.a.,alumbrado publico,p,pagos web,2020,11,11438,1
banco de occidente s.a.,circulacion y transito,p,pagos web,2021,3,186880,2
banco de occidente s.a.,circulacion y transito,p,pagos web,2021,5,106700,2
banco de occidente s.a.,facilidades,p,pagos web,2020,12,320040,1
banco de occidente s.a.,facilidades,p,pagos web,2021,2,34929,1
banco de occidente s.a.,facilidades,p,pagos web,2021,3,317284,1
banco de occidente s.a.,facilidades,p,pagos web,2021,4,472578,2
banco de occidente s.a.,facilidades,p,pagos web,2021,5,566859,4
banco de occidente s.a.,facilidades,p,pagos web,2021,6,610802,2
banco de occidente s.a.,facilidades,p,pagos web,2021,7,854787,4
banco de occidente s.a.,impuesto predial,a,pagos web,2020,11,1919585,3
banco de occidente s.a.,impuesto predial,a,pagos web,2020,12,1866860,3
banco de occidente s.a.,impuesto predial,a,pagos web,2021,2,2427804,3
banco de occidente s.a.,impuesto predial,a,pagos web,2021,3,20643667,4
banco de occidente s.a.,impuesto predial,a,pagos web,2021,5,2138307,3
banco de occidente s.a.,impuesto predial,a,pagos web,2021,6,42172,1
banco de occidente s.a.,impuesto predial,p,pagos web,2020,11,26835455,59
banco de occidente s.a.,impuesto predial,p,pagos web,2020,12,60206171,54
banco de occidente s.a.,impuesto predial,p,pagos web,2021,1,45805227,37
banco de occidente s.a.,impuesto predial,p,pagos web,2021,2,196664050,176
banco de occidente s.a.,impuesto predial,p,pagos web,2021,3,204822170,178
banco de occidente s.a.,impuesto predial,p,pagos web,2021,4,30761808,51
banco de occidente s.a.,impuesto predial,p,pagos web,2021,5,77821050,94
banco de occidente s.a.,impuesto predial,p,pagos web,2021,6,38664243,70
banco de occidente s.a.,impuesto predial,p,pagos web,2021,7,17520049,25
banco de occidente s.a.,industria y comercio,a,pagos web,2021,7,1252781,1
banco de occidente s.a.,industria y comercio,p,pagos web,2020,11,19194895,12
banco de occidente s.a.,industria y comercio,p,pagos web,2020,12,27180607,8
banco de occidente s.a.,industria y comercio,p,pagos web,2021,1,7840669,5
banco de occidente s.a.,industria y comercio,p,pagos web,2021,2,10518008,11
banco de occidente s.a.,industria y comercio,p,pagos web,2021,3,10181024,14
banco de occidente s.a.,industria y comercio,p,pagos web,2021,4,6349325,7
banco de occidente s.a.,industria y comercio,p,pagos web,2021,5,3912759,7
banco de occidente s.a.,industria y comercio,p,pagos web,2021,6,11350133,9
banco de occidente s.a.,industria y comercio,p,pagos web,2021,7,4532463,10
banco de occidente s.a.,rentas contractuales,p,pagos web,2021,1,2106077,1
banco de occidente s.a.,retencion ica,p,pagos web,2020,11,613000,1
banco de occidente s.a.,retencion ica,p,pagos web,2021,3,146000,1
"banco de occidente, s.a.",alumbrado publico,n,pagos web,2023,4,59961,1
"banco de occidente, s.a.",circulacion y transito,n,pagos web,2023,2,52012,1
"banco de occidente, s.a.",circulacion y transito,p,pagos web,2021,10,166201,5
"banco de occidente, s.a.",circulacion y transito,p,pagos web,2022,2,25320,1
"banco de occidente, s.a.",circulacion y transito,p,pagos web,2022,3,57988,2
"banco de occidente, s.a.",circulacion y transito,p,pagos web,2022,6,360119,2
"banco de occidente, s.a.",circulacion y transito,p,pagos web,2023,2,211833,9
"banco de occidente, s.a.",circulacion y transito,p,pagos web,2023,4,61407,2
"banco de occidente, s.a.",circulacion y transito,p,pagos web,2023,7,53522,1
"banco de occidente, s.a.",delineación urbana,n,pagos web,2023,8,4163370,1
"banco de occidente, s.a.",espectaculos publicos,n,pagos web,2023,3,2593818,1
"banco de occidente, s.a.",facilidades,a,pagos web,2021,11,3208337,1
"banco de occidente, s.a.",facilidades,n,pagos web,2023,3,135598,1
"banco de occidente, s.a.",facilidades,n,pagos web,2023,6,7234771,4
"banco de occidente, s.a.",facilidades,n,pagos web,2023,7,545231,1
"banco de occidente, s.a.",facilidades,n,pagos web,2023,9,546146,1
"banco de occidente, s.a.",facilidades,n,pagos web,2023,12,255331,1
"banco de occidente, s.a.",facilidades,p,pagos web,2021,8,668892,4
"banco de occidente, s.a.",facilidades,p,pagos web,2021,11,16201062,14
"banco de occidente, s.a.",facilidades,p,pagos web,2021,12,15908710,12
"banco de occidente, s.a.",facilidades,p,pagos web,2022,2,471152,4
"banco de occidente, s.a.",facilidades,p,pagos web,2022,3,1268931,7
"banco de occidente, s.a.",facilidades,p,pagos web,2022,4,438124,4
"banco de occidente, s.a.",facilidades,p,pagos web,2022,5,368266,2
"banco de occidente, s.a.",facilidades,p,pagos web,2022,6,779592,4
"banco de occidente, s.a.",facilidades,p,pagos web,2022,7,50982,1
"banco de occidente, s.a.",facilidades,p,pagos web,2022,9,2311733,9
"banco de occidente, s.a.",facilidades,p,pagos web,2022,10,391236,3
"banco de occidente, s.a.",facilidades,p,pagos web,2022,12,50982,1
"banco de occidente, s.a.",facilidades,p,pagos web,2023,1,289272,1
"banco de occidente, s.a.",facilidades,p,pagos web,2023,2,15661757,13
"banco de occidente, s.a.",facilidades,p,pagos web,2023,3,9757754,5
"banco de occidente, s.a.",facilidades,p,pagos web,2023,4,6653611,6
"banco de occidente, s.a.",facilidades,p,pagos web,2023,5,2918027,5
"banco de occidente, s.a.",facilidades,p,pagos web,2023,6,72272922,20
"banco de occidente, s.a.",facilidades,p,pagos web,2023,7,1958741,3
"banco de occidente, s.a.",facilidades,p,pagos web,2023,8,317284,1
"banco de occidente, s.a.",facilidades,p,pagos web,2023,10,131128,2
"banco de occidente, s.a.",facilidades,p,pagos web,2023,11,477576,3
"banco de occidente, s.a.",facilidades,p,pagos web,2023,12,646371,5
"banco de occidente, s.a.",impuesto predial,a,pagos web,2021,8,474211,1
"banco de occidente, s.a.",impuesto predial,a,pagos web,2021,9,1689559,4
"banco de occidente, s.a.",impuesto predial,a,pagos web,2021,11,114072,1
"banco de occidente, s.a.",impuesto predial,a,pagos web,2021,12,3596561,5
"banco de occidente, s.a.",impuesto predial,a,pagos web,2022,1,350922,1
"banco de occidente, s.a.",impuesto predial,a,pagos web,2022,2,3201449,7
"banco de occidente, s.a.",impuesto predial,a,pagos web,2022,3,6037386,2
"banco de occidente, s.a.",impuesto predial,a,pagos web,2022,4,3234287,4
"banco de occidente, s.a.",impuesto predial,a,pagos web,2022,5,7710585,4
"banco de occidente, s.a.",impuesto predial,a,pagos web,2022,6,316393,1
"banco de occidente, s.a.",impuesto predial,a,pagos web,2022,7,2515863,3
"banco de occidente, s.a.",impuesto predial,a,pagos web,2022,8,6843231,6
"banco de occidente, s.a.",impuesto predial,a,pagos web,2022,10,975356,2
"banco de occidente, s.a.",impuesto predial,a,pagos web,2022,11,3244688,5
"banco de occidente, s.a.",impuesto predial,a,pagos web,2022,12,247300,3
"banco de occidente, s.a.",impuesto predial,a,pagos web,2023,1,1506105,2
"banco de occidente, s.a.",impuesto predial,a,pagos web,2023,2,5991454,6
"banco de occidente, s.a.",impuesto predial,a,pagos web,2023,3,1607447,5
"banco de occidente, s.a.",impuesto predial,a,pagos web,2023,4,1283651,4
"banco de occidente, s.a.",impuesto predial,a,pagos web,2023,5,569035,1
"banco de occidente, s.a.",impuesto predial,a,pagos web,2023,7,3193755,3
"banco de occidente, s.a.",impuesto predial,a,pagos web,2023,8,1848433,1
"banco de occidente, s.a.",impuesto predial,a,pagos web,2023,9,159890,1
"banco de occidente, s.a.",impuesto predial,a,pagos web,2023,10,987758,1
"banco de occidente, s.a.",impuesto predial,a,pagos web,2023,11,2654721,5
"banco de occidente, s.a.",impuesto predial,a,pagos web,2023,12,2174832,1
"banco de occidente, s.a.",impuesto predial,n,pagos web,2022,9,2558641,4
"banco de occidente, s.a.",impuesto predial,n,pagos web,2022,10,18302574,7
"banco de occidente, s.a.",impuesto predial,n,pagos web,2022,11,11153525,15
"banco de occidente, s.a.",impuesto predial,n,pagos web,2022,12,7469312,13
"banco de occidente, s.a.",impuesto predial,n,pagos web,2023,1,5597347,8
"banco de occidente, s.a.",impuesto predial,n,pagos web,2023,2,38820078,43
"banco de occidente, s.a.",impuesto predial,n,pagos web,2023,3,43334177,38
"banco de occidente, s.a.",impuesto predial,n,pagos web,2023,4,4191931,7
"banco de occidente, s.a.",impuesto predial,n,pagos web,2023,5,18047392,18
"banco de occidente, s.a.",impuesto predial,n,pagos web,2023,6,2179574,5
"banco de occidente, s.a.",impuesto predial,n,pagos web,2023,7,4258300,5
"banco de occidente, s.a.",impuesto predial,n,pagos web,2023,8,29470799,7
"banco de occidente, s.a.",impuesto predial,n,pagos web,2023,9,3854143,6
"banco de occidente, s.a.",impuesto predial,n,pagos web,2023,10,553762,3
"banco de occidente, s.a.",impuesto predial,n,pagos web,2023,11,284508,1
"banco de occidente, s.a.",impuesto predial,n,pagos web,2023,12,1132064,4
"banco de occidente, s.a.",impuesto predial,p,pagos web,2021,3,5967053,1
"banco de occidente, s.a.",impuesto predial,p,pagos web,2021,7,6218278,2
"banco de occidente, s.a.",impuesto predial,p,pagos web,2021,8,15541140,27
"banco de occidente, s.a.",impuesto predial,p,pagos web,2021,9,67797709,98
"banco de occidente, s.a.",impuesto predial,p,pagos web,2021,10,18109907,20
"banco de occidente, s.a.",impuesto predial,p,pagos web,2021,11,23844045,28
"banco de occidente, s.a.",impuesto predial,p,pagos web,2021,12,67281205,119
"banco de occidente, s.a.",impuesto predial,p,pagos web,2022,1,38760381,33
"banco de occidente, s.a.",impuesto predial,p,pagos web,2022,2,171886613,177
"banco de occidente, s.a.",impuesto predial,p,pagos web,2022,3,122964801,146
"banco de occidente, s.a.",impuesto predial,p,pagos web,2022,4,53468181,46
"banco de occidente, s.a.",impuesto predial,p,pagos web,2022,5,86551107,86
"banco de occidente, s.a.",impuesto predial,p,pagos web,2022,6,54618475,96
"banco de occidente, s.a.",impuesto predial,p,pagos web,2022,7,25724696,34
"banco de occidente, s.a.",impuesto predial,p,pagos web,2022,8,111247210,116
"banco de occidente, s.a.",impuesto predial,p,pagos web,2022,9,32193993,64
"banco de occidente, s.a.",impuesto predial,p,pagos web,2022,10,39699897,24
"banco de occidente, s.a.",impuesto predial,p,pagos web,2022,11,64898209,64
"banco de occidente, s.a.",impuesto predial,p,pagos web,2022,12,41173937,56
"banco de occidente, s.a.",impuesto predial,p,pagos web,2023,1,57020293,41
"banco de occidente, s.a.",impuesto predial,p,pagos web,2023,2,141817890,139
"banco de occidente, s.a.",impuesto predial,p,pagos web,2023,3,143733890,144
"banco de occidente, s.a.",impuesto predial,p,pagos web,2023,4,47968125,35
"banco de occidente, s.a.",impuesto predial,p,pagos web,2023,5,70085510,77
"banco de occidente, s.a.",impuesto predial,p,pagos web,2023,6,33705088,60
"banco de occidente, s.a.",impuesto predial,p,pagos web,2023,7,25760621,20
"banco de occidente, s.a.",impuesto predial,p,pagos web,2023,8,60615570,91
"banco de occidente, s.a.",impuesto predial,p,pagos web,2023,9,35562715,51
"banco de occidente, s.a.",impuesto predial,p,pagos web,2023,10,20681789,26
"banco de occidente, s.a.",impuesto predial,p,pagos web,2023,11,93878065,89
"banco de occidente, s.a.",impuesto predial,p,pagos web,2023,12,45591338,67
"banco de occidente, s.a.",impuesto predial,w,pagos web,2023,12,296795,1
"banco de occidente, s.a.",impuesto telefonico,p,pagos web,2021,8,171257,1
"banco de occidente, s.a.",impuesto telefonico,p,pagos web,2022,9,8026,2
"banco de occidente, s.a.",industria y comercio,a,pagos web,2023,3,509959,1
"banco de occidente, s.a.",industria y comercio,a,pagos web,2023,5,254949,1
"banco de occidente, s.a.",industria y comercio,n,pagos web,2023,1,527687,2
"banco de occidente, s.a.",industria y comercio,n,pagos web,2023,5,2145663,3
"banco de occidente, s.a.",industria y comercio,n,pagos web,2023,6,3517600,1
"banco de occidente, s.a.",industria y comercio,n,pagos web,2023,7,7892823,3
"banco de occidente, s.a.",industria y comercio,n,pagos web,2023,8,10942538,2
"banco de occidente, s.a.",industria y comercio,n,pagos web,2023,10,3371000,1
"banco de occidente, s.a.",industria y comercio,p,pagos web,2021,8,1412090,4
"banco de occidente, s.a.",industria y comercio,p,pagos web,2021,9,1175195,3
"banco de occidente, s.a.",industria y comercio,p,pagos web,2021,10,3456353,8
"banco de occidente, s.a.",industria y comercio,p,pagos web,2021,11,14455737,9
"banco de occidente, s.a.",industria y comercio,p,pagos web,2021,12,14672382,13
"banco de occidente, s.a.",industria y comercio,p,pagos web,2022,3,21468021,5
"banco de occidente, s.a.",industria y comercio,p,pagos web,2022,4,344388,2
"banco de occidente, s.a.",industria y comercio,p,pagos web,2022,5,31126683,9
"banco de occidente, s.a.",industria y comercio,p,pagos web,2022,6,63444694,4
"banco de occidente, s.a.",industria y comercio,p,pagos web,2022,7,23755514,4
"banco de occidente, s.a.",industria y comercio,p,pagos web,2022,9,5638234,3
"banco de occidente, s.a.",industria y comercio,p,pagos web,2022,11,19928098,4
"banco de occidente, s.a.",industria y comercio,p,pagos web,2022,12,12025000,1
"banco de occidente, s.a.",industria y comercio,p,pagos web,2023,1,915074,3
"banco de occidente, s.a.",industria y comercio,p,pagos web,2023,3,15906000,1
"banco de occidente, s.a.",industria y comercio,p,pagos web,2023,5,19955499,6
"banco de occidente, s.a.",industria y comercio,p,pagos web,2023,6,1197433,2
"banco de occidente, s.a.",industria y comercio,p,pagos web,2023,7,1664629,2
"banco de occidente, s.a.",industria y comercio,p,pagos web,2023,8,2363025,2
"banco de occidente, s.a.",industria y comercio,p,pagos web,2023,9,253100,1
"banco de occidente, s.a.",industria y comercio,p,pagos web,2023,10,426386,1
"banco de occidente, s.a.",industria y comercio,p,pagos web,2023,11,4792799,2
"banco de occidente, s.a.",industria y comercio,p,pagos web,2023,12,1642401,2
"banco de occidente, s.a.",movilidad,p,pagos web,2021,11,703500,2
"banco de occidente, s.a.",publicidad exterior visual,p,pagos web,2022,8,271000,1
"banco de occidente, s.a.",publicidad exterior visual,p,pagos web,2022,11,424000,1
"banco de occidente, s.a.",publicidad exterior visual,p,pagos web,2023,4,473000,1
"banco de occidente, s.a.",publicidad exterior visual,p,pagos web,2023,5,473000,1
"banco de occidente, s.a.",publicidad exterior visual,p,pagos web,2023,6,473000,1
"banco de occidente, s.a.",publicidad exterior visual,p,pagos web,2023,8,473000,1
"banco de occidente, s.a.",publicidad exterior visual,p,pagos web,2023,10,473000,1
"banco de occidente, s.a.",publicidad exterior visual,p,pagos web,2023,11,473000,1
"banco de occidente, s.a.",publicidad exterior visual,p,pagos web,2023,12,3501000,2
"banco de occidente, s.a.",retencion ica,p,pagos web,2021,11,3118000,1
"banco de occidente, s.a.",retencion ica,p,pagos web,2022,1,2482000,1
"banco de occidente, s.a.",retencion ica,p,pagos web,2022,9,854000,1
"banco de occidente, s.a.",retencion ica,p,pagos web,2022,11,545000,1
"banco de occidente, s.a.",retencion ica,p,pagos web,2023,1,695000,1
"banco de occidente, s.a.",retencion ica,p,pagos web,2023,3,139000,1
"banco de occidente, s.a.",retencion ica,p,pagos web,2023,5,727000,1
"banco de occidente, s.a.",retencion ica,p,pagos web,2023,7,631000,1
"banco de occidente, s.a.",retencion ica,p,pagos web,2023,9,546000,1
"banco de occidente, s.a.",retencion ica,p,pagos web,2023,11,585000,1
banco de reservas de la republ,impuesto predial,n,pagos web,2023,7,180768,2
banco de reservas de la republ,impuesto predial,n,pagos web,2023,12,1340556,5
"banco del pacifico, s.a.",impuesto predial,p,pagos web,2023,4,10824685,1
"banco del pacifico, s.a.",impuesto predial,p,pagos web,2023,5,1924449,1
"banco del pacifico, s.a.",impuesto predial,p,pagos web,2023,8,1924449,1
banco del progreso,impuesto predial,p,pagos web,2023,2,2785609,1
banco diners club del ecuador,facilidades,p,pagos web,2023,6,4492187,2
banco diners club del ecuador,impuesto predial,p,pagos web,2022,9,147647,1
banco diners club del ecuador,impuesto predial,p,pagos web,2023,3,1590966,1
banco diners club del ecuador,impuesto predial,p,pagos web,2023,8,314553,1
banco diners club del ecuador,impuesto predial,p,pagos web,2023,9,315480,1
banco diners club del ecuador,impuesto predial,p,pagos web,2023,12,161845,1
"banco espirito santo, s.a.",impuesto predial,p,pagos web,2023,8,141962,1
banco estado,servicios,n,pagos web,2023,9,12854,1
banco estado,servicios,n,pagos web,2023,10,12854,1
banco estado,servicios,n,pagos web,2023,11,19281,1
banco falabella,alumbrado publico,a,pagos web,2023,3,21692,1
banco falabella,alumbrado publico,p,pagos web,2020,11,5383,2
banco falabella,alumbrado publico,p,pagos web,2020,12,183437,2
banco falabella,alumbrado publico,p,pagos web,2021,4,48000,1
banco falabella,alumbrado publico,p,pagos web,2021,11,671137,3
banco falabella,alumbrado publico,p,pagos web,2021,12,233410,2
banco falabella,alumbrado publico,p,pagos web,2022,4,239701,1
banco falabella,alumbrado publico,p,pagos web,2022,12,222422,2
banco falabella,alumbrado publico,p,pagos web,2023,3,154000,1
banco falabella,alumbrado publico,p,pagos web,2023,4,453069,2
banco falabella,alumbrado publico,p,pagos web,2023,5,2801486,3
banco falabella,alumbrado publico,p,pagos web,2023,6,17884,1
banco falabella,alumbrado publico,p,pagos web,2023,8,878012,1
banco falabella,aprov.esp.pub,n,pagos web,2023,1,390869,1
banco falabella,aprov.esp.pub,n,pagos web,2023,3,490224,1
banco falabella,aprov.esp.pub,n,pagos web,2023,5,498253,1
banco falabella,aprov.esp.pub,n,pagos web,2023,6,474077,1
banco falabella,aprov.esp.pub,n,pagos web,2023,7,474527,1
banco falabella,aprov.esp.pub,n,pagos web,2023,8,500209,1
banco falabella,aprov.esp.pub,p,pagos web,2022,11,474671,1
banco falabella,aprov.esp.pub,p,pagos web,2023,3,1157978,1
banco falabella,aprov.esp.pub,p,pagos web,2023,9,439700,1
banco falabella,circulacion y transito,a,pagos web,2022,2,59660,1
banco falabella,circulacion y transito,a,pagos web,2023,1,62520,1
banco falabella,circulacion y transito,n,pagos web,2022,9,1091403,2
banco falabella,circulacion y transito,n,pagos web,2022,12,62340,1
banco falabella,circulacion y transito,n,pagos web,2023,3,24580,1
banco falabella,circulacion y transito,n,pagos web,2023,4,279455,5
banco falabella,circulacion y transito,n,pagos web,2023,7,40635,2
banco falabella,circulacion y transito,p,pagos web,2020,7,4200,1
banco falabella,circulacion y transito,p,pagos web,2021,1,26620,1
banco falabella,circulacion y transito,p,pagos web,2021,2,83260,2
banco falabella,circulacion y transito,p,pagos web,2021,4,49000,1
banco falabella,circulacion y transito,p,pagos web,2021,5,171440,6
banco falabella,circulacion y transito,p,pagos web,2021,6,27720,1
banco falabella,circulacion y transito,p,pagos web,2021,7,112590,4
banco falabella,circulacion y transito,p,pagos web,2021,10,194600,4
banco falabella,circulacion y transito,p,pagos web,2022,1,56880,1
banco falabella,circulacion y transito,p,pagos web,2022,3,98450,5
banco falabella,circulacion y transito,p,pagos web,2022,7,43243,1
banco falabella,circulacion y transito,p,pagos web,2022,9,7362,1
banco falabella,circulacion y transito,p,pagos web,2023,1,122560,1
banco falabella,circulacion y transito,p,pagos web,2023,2,312780,5
banco falabella,circulacion y transito,p,pagos web,2023,3,250500,4
banco falabella,circulacion y transito,p,pagos web,2023,4,549190,13
banco falabella,circulacion y transito,p,pagos web,2023,5,237275,2
banco falabella,circulacion y transito,p,pagos web,2023,7,472575,4
banco falabella,circulacion y transito,p,pagos web,2023,8,74246,1
banco falabella,circulacion y transito,p,pagos web,2023,10,11699,1
banco falabella,delineación urbana,n,pagos web,2023,4,417300,1
banco falabella,delineación urbana,n,pagos web,2023,9,3886240,1
banco falabella,delineación urbana,p,pagos web,2021,5,1105000,1
banco falabella,delineación urbana,p,pagos web,2022,8,1204000,1
banco falabella,delineación urbana,p,pagos web,2023,3,198774,1
banco falabella,facilidades,a,pagos web,2020,10,2764797,1
banco falabella,facilidades,a,pagos web,2021,10,255803,1
banco falabella,facilidades,a,pagos web,2021,12,725440,1
banco falabella,facilidades,a,pagos web,2022,2,90293,1
banco falabella,facilidades,a,pagos web,2022,7,211576,1
banco falabella,facilidades,a,pagos web,2022,8,1519600,1
banco falabella,facilidades,a,pagos web,2022,10,97261,1
banco falabella,facilidades,a,pagos web,2022,11,423148,1
banco falabella,facilidades,a,pagos web,2022,12,269833,1
banco falabella,facilidades,a,pagos web,2023,2,1070057,1
banco falabella,facilidades,a,pagos web,2023,3,130000,1
banco falabella,facilidades,a,pagos web,2023,11,329171,1
banco falabella,facilidades,n,pagos web,2022,10,1782454,2
banco falabella,facilidades,n,pagos web,2022,11,237727,1
banco falabella,facilidades,n,pagos web,2022,12,237727,1
banco falabella,facilidades,n,pagos web,2023,1,237727,1
banco falabella,facilidades,n,pagos web,2023,2,15409405,6
banco falabella,facilidades,n,pagos web,2023,3,9316102,6
banco falabella,facilidades,n,pagos web,2023,4,36297800,39
banco falabella,facilidades,n,pagos web,2023,5,32261764,15
banco falabella,facilidades,n,pagos web,2023,6,15929721,26
banco falabella,facilidades,n,pagos web,2023,7,752012,2
banco falabella,facilidades,n,pagos web,2023,8,6615226,3
banco falabella,facilidades,n,pagos web,2023,9,1112278,5
banco falabella,facilidades,n,pagos web,2023,10,275400,1
banco falabella,facilidades,n,pagos web,2023,11,1008812,2
banco falabella,facilidades,p,pagos web,2020,7,584646,1
banco falabella,facilidades,p,pagos web,2020,8,3731906,2
banco falabella,facilidades,p,pagos web,2020,9,25801468,6
banco falabella,facilidades,p,pagos web,2020,10,16725892,2
banco falabella,facilidades,p,pagos web,2020,11,1222584,9
banco falabella,facilidades,p,pagos web,2020,12,142972,1
banco falabella,facilidades,p,pagos web,2021,1,632291,5
banco falabella,facilidades,p,pagos web,2021,2,607126,4
banco falabella,facilidades,p,pagos web,2021,3,318980,3
banco falabella,facilidades,p,pagos web,2021,4,1262815,3
banco falabella,facilidades,p,pagos web,2021,5,866142,2
banco falabella,facilidades,p,pagos web,2021,6,1177082,5
banco falabella,facilidades,p,pagos web,2021,7,1175607,4
banco falabella,facilidades,p,pagos web,2021,8,1068487,3
banco falabella,facilidades,p,pagos web,2021,9,2337583,9
banco falabella,facilidades,p,pagos web,2021,10,2252142,8
banco falabella,facilidades,p,pagos web,2021,11,134880642,72
banco falabella,facilidades,p,pagos web,2021,12,158545593,96
banco falabella,facilidades,p,pagos web,2022,1,2577168,7
banco falabella,facilidades,p,pagos web,2022,2,2274707,7
banco falabella,facilidades,p,pagos web,2022,3,4503358,14
banco falabella,facilidades,p,pagos web,2022,4,2481700,9
banco falabella,facilidades,p,pagos web,2022,5,2888193,10
banco falabella,facilidades,p,pagos web,2022,6,5894756,11
banco falabella,facilidades,p,pagos web,2022,7,2934407,9
banco falabella,facilidades,p,pagos web,2022,8,5974816,13
banco falabella,facilidades,p,pagos web,2022,9,9434119,19
banco falabella,facilidades,p,pagos web,2022,10,4729784,13
banco falabella,facilidades,p,pagos web,2022,11,5272060,17
banco falabella,facilidades,p,pagos web,2022,12,7847425,15
banco falabella,facilidades,p,pagos web,2023,1,4630899,10
banco falabella,facilidades,p,pagos web,2023,2,38720061,29
banco falabella,facilidades,p,pagos web,2023,3,24627115,35
banco falabella,facilidades,p,pagos web,2023,4,22872806,24
banco falabella,facilidades,p,pagos web,2023,5,81003311,41
banco falabella,facilidades,p,pagos web,2023,6,73080184,45
banco falabella,facilidades,p,pagos web,2023,7,1426392,5
banco falabella,facilidades,p,pagos web,2023,8,12553052,11
banco falabella,facilidades,p,pagos web,2023,9,3677589,12
banco falabella,facilidades,p,pagos web,2023,10,3621877,3
banco falabella,facilidades,p,pagos web,2023,11,2063494,7
banco falabella,facilidades,p,pagos web,2023,12,8289720,10
banco falabella,impuesto predial,a,pagos web,2020,2,9050899,4
banco falabella,impuesto predial,a,pagos web,2020,3,83258,1
banco falabella,impuesto predial,a,pagos web,2020,4,313315,1
banco falabella,impuesto predial,a,pagos web,2020,5,310373,1
banco falabella,impuesto predial,a,pagos web,2020,6,547040,4
banco falabella,impuesto predial,a,pagos web,2020,7,23278,1
banco falabella,impuesto predial,a,pagos web,2020,8,214230,2
banco falabella,impuesto predial,a,pagos web,2020,9,439554,3
banco falabella,impuesto predial,a,pagos web,2020,11,9049376,5
banco falabella,impuesto predial,a,pagos web,2020,12,10587599,9
banco falabella,impuesto predial,a,pagos web,2021,1,458415,2
banco falabella,impuesto predial,a,pagos web,2021,2,10736344,17
banco falabella,impuesto predial,a,pagos web,2021,3,16376333,16
banco falabella,impuesto predial,a,pagos web,2021,4,8432904,11
banco falabella,impuesto predial,a,pagos web,2021,5,207680,2
banco falabella,impuesto predial,a,pagos web,2021,6,3609216,14
banco falabella,impuesto predial,a,pagos web,2021,7,102836,2
banco falabella,impuesto predial,a,pagos web,2021,8,1020294,4
banco falabella,impuesto predial,a,pagos web,2021,9,4940169,15
banco falabella,impuesto predial,a,pagos web,2021,10,3096972,5
banco falabella,impuesto predial,a,pagos web,2021,11,1284371,4
banco falabella,impuesto predial,a,pagos web,2021,12,22701219,21
banco falabella,impuesto predial,a,pagos web,2022,1,1212049,3
banco falabella,impuesto predial,a,pagos web,2022,2,22671787,20
banco falabella,impuesto predial,a,pagos web,2022,3,30776288,25
banco falabella,impuesto predial,a,pagos web,2022,4,3655075,8
banco falabella,impuesto predial,a,pagos web,2022,5,2300064,12
banco falabella,impuesto predial,a,pagos web,2022,6,4467497,11
banco falabella,impuesto predial,a,pagos web,2022,7,10574935,13
banco falabella,impuesto predial,a,pagos web,2022,8,5239856,12
banco falabella,impuesto predial,a,pagos web,2022,9,36698811,17
banco falabella,impuesto predial,a,pagos web,2022,10,9418791,13
banco falabella,impuesto predial,a,pagos web,2022,11,3059841,4
