index,Banco,Contrato,Origen,Tipo archivo recaudo,Hora,DiaSemana,Total recaudo,Total transacciones
0,abu dhabi commercial bank,impuesto predial,n,pagos web,15,5,3958629,1
1,abu dhabi commercial bank,impuesto predial,p,pagos web,5,5,968443,3
2,abu dhabi commercial bank,impuesto predial,p,pagos web,6,3,224933,1
3,abu dhabi commercial bank,impuesto predial,p,pagos web,9,4,603544,2
4,abu dhabi commercial bank,impuesto predial,p,pagos web,10,3,905316,3
5,abu dhabi commercial bank,impuesto predial,p,pagos web,11,3,301772,1
6,abu dhabi commercial bank,impuesto predial,p,pagos web,14,2,3135853,1
7,adcb,impuesto predial,p,pagos web,0,2,41332,1
8,adcb,impuesto predial,p,pagos web,5,3,3304610,1
9,advancial f.c.u.,impuesto predial,p,pagos web,11,1,3436960,2
10,aec mexico sa de cv - gstar co,impuesto predial,n,pagos web,22,6,11886119,1
11,aec mexico sa de cv - gstar co,impuesto predial,p,pagos web,12,4,1568593,1
12,aec mexico sa de cv - gstar co,impuesto predial,p,pagos web,16,0,7378060,1
13,aec mexico sa de cv - gstar co,impuesto predial,p,pagos web,21,3,1586489,1
14,aeromexico,impuesto predial,p,pagos web,16,4,12214674,1
15,allied irish banks plc,impuesto predial,p,pagos web,18,2,15182836,1
16,altra f.c.u.,impuesto predial,n,pagos web,0,3,1390550,1
17,american airlines f.c.u.,impuesto predial,p,pagos web,11,2,1638001,1
18,american airlines f.c.u.,impuesto predial,p,pagos web,11,3,7704457,1
19,american express,impuesto predial,a,pagos web,13,1,334,1
20,american express,impuesto predial,n,pagos web,15,0,9634684,2
21,american express,impuesto predial,n,pagos web,22,2,111866,1
22,american express,impuesto predial,p,pagos web,8,1,24020,1
23,american express,impuesto predial,p,pagos web,10,1,242612,1
24,american express,impuesto predial,p,pagos web,12,6,485946,1
25,american express,impuesto predial,p,pagos web,13,2,3402003,1
26,american express,impuesto predial,p,pagos web,19,0,1070,1
27,american express,impuesto predial,p,pagos web,21,0,4051450,1
28,american express,impuesto predial,p,pagos web,23,0,655785,1
29,american express,impuesto predial,p,pagos web,23,1,4124744,1
30,american express company,facilidades,n,pagos web,7,3,12383087,1
31,american express company,facilidades,n,pagos web,8,3,4445833,1
32,american express company,facilidades,n,pagos web,9,1,1282114,1
33,american express company,facilidades,n,pagos web,9,2,3070812,1
34,american express company,facilidades,p,pagos web,8,2,5870903,1
35,american express company,facilidades,p,pagos web,10,4,138531,1
36,american express company,facilidades,p,pagos web,11,5,138531,1
37,american express company,facilidades,p,pagos web,13,6,138531,1
38,american express company,facilidades,p,pagos web,16,2,138531,1
39,american express company,facilidades,p,pagos web,18,0,138531,1
40,american express company,facilidades,p,pagos web,18,1,138531,1
41,american express company,impuesto predial,a,pagos web,9,3,6883468,1
42,american express company,impuesto predial,a,pagos web,12,6,4046012,1
43,american express company,impuesto predial,a,pagos web,14,2,2546174,1
44,american express company,impuesto predial,a,pagos web,20,0,1375494,2
45,american express company,impuesto predial,n,pagos web,8,1,1480766,1
46,american express company,impuesto predial,n,pagos web,9,1,2007412,1
47,american express company,impuesto predial,n,pagos web,9,2,2174704,2
48,american express company,impuesto predial,n,pagos web,9,3,1247148,1
49,american express company,impuesto predial,n,pagos web,13,0,3973183,1
50,american express company,impuesto predial,n,pagos web,13,6,8187108,1
51,american express company,impuesto predial,n,pagos web,15,5,3260476,1
52,american express company,impuesto predial,n,pagos web,16,0,315424,1
53,american express company,impuesto predial,n,pagos web,16,1,11487299,2
54,american express company,impuesto predial,n,pagos web,17,2,8595577,2
55,american express company,impuesto predial,n,pagos web,17,5,1851998,2
56,american express company,impuesto predial,n,pagos web,22,1,5307170,1
57,american express company,impuesto predial,p,pagos web,1,1,3417990,1
58,american express company,impuesto predial,p,pagos web,2,0,928272,1
59,american express company,impuesto predial,p,pagos web,3,5,1545630,1
60,american express company,impuesto predial,p,pagos web,6,1,981268,1
61,american express company,impuesto predial,p,pagos web,7,1,15531286,1
62,american express company,impuesto predial,p,pagos web,8,0,543391,1
63,american express company,impuesto predial,p,pagos web,8,1,3407814,1
64,american express company,impuesto predial,p,pagos web,8,2,735025,1
65,american express company,impuesto predial,p,pagos web,8,3,238010,1
66,american express company,impuesto predial,p,pagos web,8,4,3409821,1
67,american express company,impuesto predial,p,pagos web,9,0,2612282,1
68,american express company,impuesto predial,p,pagos web,9,1,2020736,2
69,american express company,impuesto predial,p,pagos web,9,2,3180293,1
70,american express company,impuesto predial,p,pagos web,9,3,15538297,2
71,american express company,impuesto predial,p,pagos web,9,4,15182836,1
72,american express company,impuesto predial,p,pagos web,9,5,2100595,2
73,american express company,impuesto predial,p,pagos web,10,1,5706026,5
74,american express company,impuesto predial,p,pagos web,10,2,1869273,2
75,american express company,impuesto predial,p,pagos web,10,3,538265,2
76,american express company,impuesto predial,p,pagos web,10,6,3453634,1
77,american express company,impuesto predial,p,pagos web,11,0,7978404,2
78,american express company,impuesto predial,p,pagos web,11,1,36511794,2
79,american express company,impuesto predial,p,pagos web,11,2,703123,1
80,american express company,impuesto predial,p,pagos web,11,3,290603,1
81,american express company,impuesto predial,p,pagos web,11,5,981268,1
82,american express company,impuesto predial,p,pagos web,12,0,315424,1
83,american express company,impuesto predial,p,pagos web,12,1,11084881,2
84,american express company,impuesto predial,p,pagos web,12,2,167735,1
85,american express company,impuesto predial,p,pagos web,12,3,7974255,2
86,american express company,impuesto predial,p,pagos web,13,0,5305745,1
87,american express company,impuesto predial,p,pagos web,13,1,949,1
88,american express company,impuesto predial,p,pagos web,13,2,4484291,1
89,american express company,impuesto predial,p,pagos web,13,3,282454,2
90,american express company,impuesto predial,p,pagos web,13,6,1289,1
91,american express company,impuesto predial,p,pagos web,14,0,1278237,1
92,american express company,impuesto predial,p,pagos web,14,1,21023108,3
93,american express company,impuesto predial,p,pagos web,14,2,4154665,2
94,american express company,impuesto predial,p,pagos web,14,3,15351628,1
95,american express company,impuesto predial,p,pagos web,14,4,653953,1
96,american express company,impuesto predial,p,pagos web,15,0,1539532,2
97,american express company,impuesto predial,p,pagos web,15,2,337711,2
98,american express company,impuesto predial,p,pagos web,15,3,2092544,1
99,american express company,impuesto predial,p,pagos web,15,4,1862407,3
100,american express company,impuesto predial,p,pagos web,15,5,1237080,1
101,american express company,impuesto predial,p,pagos web,16,1,1173434,2
102,american express company,impuesto predial,p,pagos web,16,2,17266191,5
103,american express company,impuesto predial,p,pagos web,16,3,2092544,1
104,american express company,impuesto predial,p,pagos web,16,5,752246,1
105,american express company,impuesto predial,p,pagos web,17,0,3776237,1
106,american express company,impuesto predial,p,pagos web,17,1,4150959,4
107,american express company,impuesto predial,p,pagos web,17,2,1278237,1
108,american express company,impuesto predial,p,pagos web,17,3,325067,1
109,american express company,impuesto predial,p,pagos web,18,1,7439638,3
110,american express company,impuesto predial,p,pagos web,18,2,1481566,2
111,american express company,impuesto predial,p,pagos web,18,3,4762455,3
112,american express company,impuesto predial,p,pagos web,18,4,4782357,1
113,american express company,impuesto predial,p,pagos web,19,0,3177392,1
114,american express company,impuesto predial,p,pagos web,19,2,376282,1
115,american express company,impuesto predial,p,pagos web,19,4,1655644,1
116,american express company,impuesto predial,p,pagos web,20,0,2144061,2
117,american express company,impuesto predial,p,pagos web,20,2,434996,1
118,american express company,impuesto predial,p,pagos web,20,4,2495979,2
119,american express company,impuesto predial,p,pagos web,20,6,14254738,2
120,american express company,impuesto predial,p,pagos web,22,3,13246561,1
121,american express company,impuesto predial,p,pagos web,22,6,735025,1
122,american express company,impuesto predial,p,pagos web,23,3,11547252,1
123,american express company,impuesto predial,w,pagos web,15,5,516035,1
124,american express company,industria y comercio,n,pagos web,9,2,6425060,1
125,american express company,industria y comercio,n,pagos web,10,3,7656762,1
126,american express company,industria y comercio,n,pagos web,16,4,9121451,1
127,american express company,industria y comercio,p,pagos web,11,0,110686,1
128,american express company us,impuesto predial,p,pagos web,21,5,27568532,1
129,american express idc consumer,impuesto predial,p,pagos web,19,0,9896770,1
130,american express us,impuesto predial,n,pagos web,9,4,1234247,1
131,american express us,impuesto predial,n,pagos web,11,0,8820564,1
132,american express us,impuesto predial,n,pagos web,13,1,90189,2
133,american express us,impuesto predial,n,pagos web,17,3,9529456,1
134,american express us,impuesto predial,p,pagos web,0,2,350780,1
135,american express us,impuesto predial,p,pagos web,9,0,159585,1
136,american express us,impuesto predial,p,pagos web,9,2,7368606,3
137,american express us,impuesto predial,p,pagos web,9,3,5232634,1
138,american express us,impuesto predial,p,pagos web,10,0,815368,2
139,american express us,impuesto predial,p,pagos web,10,2,7373418,2
140,american express us,impuesto predial,p,pagos web,10,3,995810,1
141,american express us,impuesto predial,p,pagos web,10,4,1495475,2
142,american express us,impuesto predial,p,pagos web,11,0,3204798,1
143,american express us,impuesto predial,p,pagos web,11,1,3928827,1
144,american express us,impuesto predial,p,pagos web,11,5,1359157,1
145,american express us,impuesto predial,p,pagos web,12,1,1038,1
146,american express us,impuesto predial,p,pagos web,12,5,271484,1
147,american express us,impuesto predial,p,pagos web,13,0,1144178,3
148,american express us,impuesto predial,p,pagos web,13,2,5445280,2
149,american express us,impuesto predial,p,pagos web,14,3,4261950,1
150,american express us,impuesto predial,p,pagos web,16,0,1225200,1
151,american express us,impuesto predial,p,pagos web,17,4,2703500,1
152,american express us,impuesto predial,p,pagos web,18,3,1162975,1
153,american express us,impuesto predial,p,pagos web,18,5,1619618,1
154,american express us,impuesto predial,p,pagos web,19,3,2836270,1
155,american express us,impuesto predial,p,pagos web,20,0,596507,1
156,american express us,impuesto predial,p,pagos web,20,1,1890117,2
157,american express us,impuesto predial,p,pagos web,21,2,807530,1
158,american express us consumer,delineación urbana,n,pagos web,11,1,13277630,1
159,american express us consumer,facilidades,a,pagos web,14,2,243823,1
160,american express us consumer,facilidades,n,pagos web,12,1,886683,1
161,american express us consumer,facilidades,n,pagos web,19,1,1787834,1
162,american express us consumer,facilidades,p,pagos web,10,1,1336331,2
163,american express us consumer,facilidades,p,pagos web,14,2,17382713,1
164,american express us consumer,facilidades,p,pagos web,22,1,5219138,2
165,american express us consumer,facilidades,p,pagos web,23,0,11868434,1
166,american express us consumer,impuesto predial,a,pagos web,7,3,850809,1
167,american express us consumer,impuesto predial,a,pagos web,8,2,2244724,1
168,american express us consumer,impuesto predial,a,pagos web,17,1,18567550,1
169,american express us consumer,impuesto predial,a,pagos web,20,1,85170,1
170,american express us consumer,impuesto predial,n,pagos web,8,4,3699487,1
171,american express us consumer,impuesto predial,n,pagos web,9,6,8582992,1
172,american express us consumer,impuesto predial,n,pagos web,10,2,71159,1
173,american express us consumer,impuesto predial,n,pagos web,10,3,277582,1
174,american express us consumer,impuesto predial,n,pagos web,11,3,4826218,1
175,american express us consumer,impuesto predial,n,pagos web,14,3,5095058,2
176,american express us consumer,impuesto predial,n,pagos web,15,0,1820714,1
177,american express us consumer,impuesto predial,n,pagos web,15,2,6376741,1
178,american express us consumer,impuesto predial,n,pagos web,15,3,2673433,1
179,american express us consumer,impuesto predial,n,pagos web,18,0,1096902,1
180,american express us consumer,impuesto predial,n,pagos web,18,5,2935436,1
181,american express us consumer,impuesto predial,n,pagos web,18,6,2135450,1
182,american express us consumer,impuesto predial,n,pagos web,19,0,21061120,1
183,american express us consumer,impuesto predial,n,pagos web,19,1,1179746,2
184,american express us consumer,impuesto predial,n,pagos web,20,1,347369,1
185,american express us consumer,impuesto predial,n,pagos web,21,0,2174014,1
186,american express us consumer,impuesto predial,n,pagos web,21,1,3308,1
187,american express us consumer,impuesto predial,n,pagos web,22,2,20232231,2
188,american express us consumer,impuesto predial,p,pagos web,0,2,4316307,1
189,american express us consumer,impuesto predial,p,pagos web,1,4,5344210,1
190,american express us consumer,impuesto predial,p,pagos web,5,3,685504,1
191,american express us consumer,impuesto predial,p,pagos web,7,0,1088873,1
192,american express us consumer,impuesto predial,p,pagos web,7,1,2015070,3
193,american express us consumer,impuesto predial,p,pagos web,8,0,1990631,2
194,american express us consumer,impuesto predial,p,pagos web,8,2,1329533,1
195,american express us consumer,impuesto predial,p,pagos web,9,1,15750007,1
196,american express us consumer,impuesto predial,p,pagos web,9,3,1013715,2
197,american express us consumer,impuesto predial,p,pagos web,9,5,5128290,1
198,american express us consumer,impuesto predial,p,pagos web,10,2,15787080,3
199,american express us consumer,impuesto predial,p,pagos web,10,3,173450,1
200,american express us consumer,impuesto predial,p,pagos web,10,4,2584545,2
201,american express us consumer,impuesto predial,p,pagos web,11,0,2645850,2
202,american express us consumer,impuesto predial,p,pagos web,11,2,26557285,2
203,american express us consumer,impuesto predial,p,pagos web,11,4,156460,5
204,american express us consumer,impuesto predial,p,pagos web,12,1,4720026,2
205,american express us consumer,impuesto predial,p,pagos web,12,2,1292988,1
206,american express us consumer,impuesto predial,p,pagos web,12,3,1594627,2
207,american express us consumer,impuesto predial,p,pagos web,12,6,1073401,1
208,american express us consumer,impuesto predial,p,pagos web,13,0,5592810,3
209,american express us consumer,impuesto predial,p,pagos web,13,4,12827338,2
210,american express us consumer,impuesto predial,p,pagos web,14,0,1328773,1
211,american express us consumer,impuesto predial,p,pagos web,14,1,598576,1
212,american express us consumer,impuesto predial,p,pagos web,14,2,5085942,2
213,american express us consumer,impuesto predial,p,pagos web,14,3,140600,2
214,american express us consumer,impuesto predial,p,pagos web,14,4,4695621,1
215,american express us consumer,impuesto predial,p,pagos web,15,0,6164684,2
216,american express us consumer,impuesto predial,p,pagos web,15,1,1277276,1
217,american express us consumer,impuesto predial,p,pagos web,15,2,2711404,1
218,american express us consumer,impuesto predial,p,pagos web,15,3,2393563,1
219,american express us consumer,impuesto predial,p,pagos web,15,5,2347526,1
220,american express us consumer,impuesto predial,p,pagos web,16,1,2711404,1
221,american express us consumer,impuesto predial,p,pagos web,16,2,18532520,4
222,american express us consumer,impuesto predial,p,pagos web,16,3,3462527,2
223,american express us consumer,impuesto predial,p,pagos web,16,4,14507951,2
224,american express us consumer,impuesto predial,p,pagos web,16,6,9238599,4
225,american express us consumer,impuesto predial,p,pagos web,17,0,3962711,3
226,american express us consumer,impuesto predial,p,pagos web,17,1,13344832,3
227,american express us consumer,impuesto predial,p,pagos web,17,2,9380,1
228,american express us consumer,impuesto predial,p,pagos web,17,3,3100005,2
229,american express us consumer,impuesto predial,p,pagos web,17,4,1520897,1
230,american express us consumer,impuesto predial,p,pagos web,17,5,1041917,1
231,american express us consumer,impuesto predial,p,pagos web,18,0,1096902,1
232,american express us consumer,impuesto predial,p,pagos web,18,1,7788547,1
233,american express us consumer,impuesto predial,p,pagos web,18,3,32219917,2
234,american express us consumer,impuesto predial,p,pagos web,19,1,19850,1
235,american express us consumer,impuesto predial,p,pagos web,19,3,650826,1
236,american express us consumer,impuesto predial,p,pagos web,20,0,2186277,2
237,american express us consumer,impuesto predial,p,pagos web,20,1,5228341,2
238,american express us consumer,impuesto predial,p,pagos web,20,2,11919358,4
239,american express us consumer,impuesto predial,p,pagos web,20,5,309434,1
240,american express us consumer,impuesto predial,p,pagos web,21,1,2779159,1
241,american express us consumer,impuesto predial,p,pagos web,21,6,11341869,1
242,american express us consumer,impuesto predial,p,pagos web,22,2,1477414,1
243,american express us consumer,impuesto predial,p,pagos web,23,1,6064040,1
244,american express us consumer,industria y comercio,n,pagos web,16,2,14185584,2
245,american express us consumer,industria y comercio,n,pagos web,20,1,165838,1
246,american express us consumer,industria y comercio,p,pagos web,9,1,871372,1
247,american express us consumer,industria y comercio,p,pagos web,13,4,336232,1
248,american gateway bank,impuesto predial,p,pagos web,9,2,636496,1
249,amex - amex,impuesto predial,n,pagos web,9,1,1417000,1
250,amex - amex,impuesto predial,n,pagos web,10,0,1707078,2
251,amex - amex,impuesto predial,n,pagos web,11,1,3885701,1
252,amex - amex,impuesto predial,n,pagos web,12,0,6485967,4
253,amex - amex,impuesto predial,n,pagos web,12,1,332568,1
254,amex - amex,impuesto predial,n,pagos web,13,6,175863,2
255,amex - amex,impuesto predial,p,pagos web,8,4,33250,1
256,amex - amex,impuesto predial,p,pagos web,11,5,1987197,1
257,amex - amex,impuesto predial,p,pagos web,11,6,258240,2
258,amex - amex,impuesto predial,p,pagos web,12,6,479788,1
259,amex - amex,impuesto predial,p,pagos web,13,4,1871588,1
260,amex - amex,impuesto predial,p,pagos web,14,4,1593454,1
261,amex - amex,impuesto predial,p,pagos web,16,4,15222,1
262,amex - amex,impuesto predial,p,pagos web,17,3,13095935,1
263,amex - amex,impuesto predial,p,pagos web,19,0,1411703,1
264,amex - amex,impuesto predial,p,pagos web,19,2,451862,1
265,amex - amex,industria y comercio,p,pagos web,17,1,6148,1
266,amex canada globestar,impuesto predial,p,pagos web,10,1,1667165,1
267,amex canada globestar,impuesto predial,p,pagos web,12,6,2954383,1
268,amex canada globestar,impuesto predial,p,pagos web,16,2,329185,1
269,amex canada globestar,impuesto predial,p,pagos web,17,2,326736,1
270,amex canada globestar,industria y comercio,p,pagos web,20,0,2192560,1
271,amex espana card globestar cha,impuesto predial,p,pagos web,9,0,486134,1
272,amex espana card globestar cha,impuesto predial,p,pagos web,11,4,162556,1
273,amex espana card globestar cha,impuesto predial,p,pagos web,15,0,127942,1
274,aruba bank n.v.,impuesto predial,n,pagos web,9,0,4610471,1
275,"aruba bank, n.v.",impuesto predial,p,pagos web,9,3,2160266,1
276,asb bank,impuesto predial,p,pagos web,18,0,1062864,1
277,asociacion gremial de instituc,facilidades,p,pagos web,9,2,6415220,1
278,asociacion gremial de instituc,impuesto predial,p,pagos web,7,0,1588496,1
279,asociacion gremial de instituc,impuesto predial,p,pagos web,8,2,2540963,1
280,asociacion gremial de instituc,impuesto predial,p,pagos web,8,4,112744,1
281,asociacion gremial de instituc,impuesto predial,p,pagos web,9,0,758523,3
282,asociacion gremial de instituc,impuesto predial,p,pagos web,9,1,186932,2
283,asociacion gremial de instituc,impuesto predial,p,pagos web,9,3,626856,2
284,asociacion gremial de instituc,impuesto predial,p,pagos web,10,0,627916,1
285,asociacion gremial de instituc,impuesto predial,p,pagos web,10,3,265028,1
286,asociacion gremial de instituc,impuesto predial,p,pagos web,10,4,427469,1
287,asociacion gremial de instituc,impuesto predial,p,pagos web,11,0,192961,1
288,asociacion gremial de instituc,impuesto predial,p,pagos web,11,1,2943,1
289,asociacion gremial de instituc,impuesto predial,p,pagos web,11,2,3642961,1
290,asociacion gremial de instituc,impuesto predial,p,pagos web,11,3,393424,1
291,asociacion gremial de instituc,impuesto predial,p,pagos web,11,5,566997,1
292,asociacion gremial de instituc,impuesto predial,p,pagos web,12,0,867055,2
293,asociacion gremial de instituc,impuesto predial,p,pagos web,12,2,289931,1
294,asociacion gremial de instituc,impuesto predial,p,pagos web,12,3,2427236,1
295,asociacion gremial de instituc,impuesto predial,p,pagos web,12,6,3182781,1
296,asociacion gremial de instituc,impuesto predial,p,pagos web,13,0,4376669,2
297,asociacion gremial de instituc,impuesto predial,p,pagos web,13,4,1087587,1
298,asociacion gremial de instituc,impuesto predial,p,pagos web,13,5,116213,1
299,asociacion gremial de instituc,impuesto predial,p,pagos web,14,0,495323,1
300,asociacion gremial de instituc,impuesto predial,p,pagos web,14,2,206367,1
301,asociacion gremial de instituc,impuesto predial,p,pagos web,14,3,1043560,2
302,asociacion gremial de instituc,impuesto predial,p,pagos web,14,4,3987547,1
303,asociacion gremial de instituc,impuesto predial,p,pagos web,14,6,1007465,1
304,asociacion gremial de instituc,impuesto predial,p,pagos web,15,1,1299786,2
305,asociacion gremial de instituc,impuesto predial,p,pagos web,15,2,7589,1
306,asociacion gremial de instituc,impuesto predial,p,pagos web,16,0,1346918,3
307,asociacion gremial de instituc,impuesto predial,p,pagos web,16,2,3479906,2
308,asociacion gremial de instituc,impuesto predial,p,pagos web,16,4,330733,1
309,asociacion gremial de instituc,impuesto predial,p,pagos web,17,0,790176,2
310,asociacion gremial de instituc,impuesto predial,p,pagos web,17,1,863057,2
311,asociacion gremial de instituc,impuesto predial,p,pagos web,17,2,5340913,3
312,asociacion gremial de instituc,impuesto predial,p,pagos web,17,4,730699,1
313,asociacion gremial de instituc,impuesto predial,p,pagos web,17,6,243368,1
314,asociacion gremial de instituc,impuesto predial,p,pagos web,18,0,407843,1
315,asociacion gremial de instituc,impuesto predial,p,pagos web,18,1,451215,1
316,asociacion gremial de instituc,impuesto predial,p,pagos web,18,2,2342350,2
317,asociacion gremial de instituc,impuesto predial,p,pagos web,18,3,1847424,2
318,asociacion gremial de instituc,impuesto predial,p,pagos web,19,0,206282,1
319,asociacion gremial de instituc,impuesto predial,p,pagos web,19,1,1946193,1
320,asociacion gremial de instituc,impuesto predial,p,pagos web,19,4,102312,1
321,asociacion gremial de instituc,impuesto predial,p,pagos web,20,0,923054,1
322,asociacion gremial de instituc,impuesto predial,p,pagos web,20,3,8114590,5
323,asociacion gremial de instituc,impuesto predial,p,pagos web,20,4,3227672,3
324,asociacion gremial de instituc,impuesto predial,p,pagos web,21,1,8838648,2
325,asociacion gremial de instituc,impuesto predial,p,pagos web,21,3,5579,1
326,asociacion gremial de instituc,impuesto predial,p,pagos web,21,5,530585,1
327,asociacion gremial de instituc,impuesto predial,p,pagos web,22,0,169104,1
328,asociacion gremial de instituc,impuesto predial,p,pagos web,23,0,265028,1
329,asociacion gremial de instituc,impuesto predial,p,pagos web,23,5,379473,1
330,asociacion gremial de instituc,industria y comercio,p,pagos web,8,2,25300,1
331,asociacion gremial de instituc,industria y comercio,p,pagos web,8,3,938353,1
332,asociacion gremial de instituc,industria y comercio,p,pagos web,11,6,25300,1
333,asociacion gremial de instituc,industria y comercio,p,pagos web,12,2,109089,1
334,asociacion gremial de instituc,industria y comercio,p,pagos web,12,5,25300,1
335,asociacion gremial de instituc,industria y comercio,p,pagos web,15,1,25300,1
336,asociacion gremial de instituc,industria y comercio,p,pagos web,15,2,36000,1
337,asociacion gremial de instituc,industria y comercio,p,pagos web,16,4,72636,1
338,asociacion gremial de instituc,industria y comercio,p,pagos web,18,5,43398,1
339,asociacion gremial de instituc,industria y comercio,p,pagos web,19,0,107704,1
340,asociacion gremial de instituc,industria y comercio,p,pagos web,21,1,25300,1
341,asociacion gremial de instituc,industria y comercio,p,pagos web,21,3,289800,1
342,asociacion gremial de instituc,industria y comercio,p,pagos web,22,2,25300,1
343,asociacion gremial de instituc,industria y comercio,p,pagos web,22,3,25300,1
344,asociacion gremial de instituc,industria y comercio,p,pagos web,22,4,25300,1
345,asociacion gremial de instituc,industria y comercio,p,pagos web,23,5,72000,1
346,australia and new zealand bank,impuesto predial,p,pagos web,11,3,376851,1
347,av villas,circulacion y transito,a,pagos web,0,2,29725,1
348,av villas,facilidades,p,pagos web,7,2,433004,1
349,av villas,facilidades,p,pagos web,8,1,165522,1
350,av villas,facilidades,p,pagos web,8,3,169362,1
351,av villas,facilidades,p,pagos web,8,4,3550054,1
352,av villas,facilidades,p,pagos web,9,1,129056,1
353,av villas,facilidades,p,pagos web,9,2,917245,1
354,av villas,facilidades,p,pagos web,9,4,820707,2
355,av villas,facilidades,p,pagos web,9,5,320597,1
356,av villas,facilidades,p,pagos web,11,1,1630041,2
357,av villas,facilidades,p,pagos web,11,4,105309,1
358,av villas,facilidades,p,pagos web,12,1,287029,1
359,av villas,facilidades,p,pagos web,12,5,1204575,2
360,av villas,facilidades,p,pagos web,13,0,5635711,2
361,av villas,facilidades,p,pagos web,13,1,1175779,1
362,av villas,facilidades,p,pagos web,14,1,2308853,1
363,av villas,facilidades,p,pagos web,14,2,11166347,2
364,av villas,facilidades,p,pagos web,14,3,2146832,2
365,av villas,facilidades,p,pagos web,15,3,2323729,2
366,av villas,facilidades,p,pagos web,16,0,1301409,1
367,av villas,facilidades,p,pagos web,16,2,349938,2
368,av villas,facilidades,p,pagos web,16,3,978674,1
369,av villas,facilidades,p,pagos web,16,4,252869,1
370,av villas,facilidades,p,pagos web,17,1,211084,1
371,av villas,facilidades,p,pagos web,17,2,5089158,3
372,av villas,facilidades,p,pagos web,18,0,4808610,1
373,av villas,facilidades,p,pagos web,18,2,435002,1
374,av villas,facilidades,p,pagos web,18,5,452703,1
375,av villas,facilidades,p,pagos web,19,1,2206264,1
376,av villas,facilidades,p,pagos web,19,6,196610,1
377,av villas,facilidades,p,pagos web,20,1,1544331,1
378,av villas,facilidades,p,pagos web,21,2,1474928,1
379,av villas,facilidades,p,pagos web,21,3,3127392,1
380,av villas,facilidades,p,pagos web,21,4,1721105,1
381,av villas,facilidades,p,pagos web,22,0,216808,1
382,av villas,facilidades,p,pagos web,23,0,201651,1
383,av villas,impuesto predial,a,pagos web,7,5,67067,1
384,av villas,impuesto predial,a,pagos web,9,1,628288,1
385,av villas,impuesto predial,a,pagos web,9,3,267568,1
386,av villas,impuesto predial,a,pagos web,10,5,317429,1
387,av villas,impuesto predial,a,pagos web,11,1,217198,1
388,av villas,impuesto predial,a,pagos web,11,3,686975,1
389,av villas,impuesto predial,a,pagos web,11,6,67067,1
390,av villas,impuesto predial,a,pagos web,15,2,57135,1
391,av villas,impuesto predial,a,pagos web,15,3,1037938,1
392,av villas,impuesto predial,a,pagos web,17,5,141654,1
393,av villas,impuesto predial,a,pagos web,18,2,1070206,2
394,av villas,impuesto predial,a,pagos web,18,4,35272,1
395,av villas,impuesto predial,a,pagos web,19,0,106258,1
396,av villas,impuesto predial,a,pagos web,19,4,150376,1
397,av villas,impuesto predial,a,pagos web,20,1,180914,1
398,av villas,impuesto predial,p,pagos web,0,2,535060,2
399,av villas,impuesto predial,p,pagos web,0,3,1932470,2
400,av villas,impuesto predial,p,pagos web,4,1,256570,1
401,av villas,impuesto predial,p,pagos web,6,3,2848540,2
402,av villas,impuesto predial,p,pagos web,6,4,1154682,2
403,av villas,impuesto predial,p,pagos web,7,0,285207,3
404,av villas,impuesto predial,p,pagos web,7,1,4364697,3
405,av villas,impuesto predial,p,pagos web,7,2,2006005,3
406,av villas,impuesto predial,p,pagos web,7,3,1357312,2
407,av villas,impuesto predial,p,pagos web,7,4,3258838,2
408,av villas,impuesto predial,p,pagos web,7,5,3244824,3
409,av villas,impuesto predial,p,pagos web,7,6,1204993,1
410,av villas,impuesto predial,p,pagos web,8,1,3687326,5
411,av villas,impuesto predial,p,pagos web,8,2,2340676,2
412,av villas,impuesto predial,p,pagos web,8,3,833539,2
413,av villas,impuesto predial,p,pagos web,8,4,2871152,4
414,av villas,impuesto predial,p,pagos web,9,0,491093,1
415,av villas,impuesto predial,p,pagos web,9,1,3325472,4
416,av villas,impuesto predial,p,pagos web,9,2,10274644,3
417,av villas,impuesto predial,p,pagos web,9,3,5334330,1
418,av villas,impuesto predial,p,pagos web,9,4,311207,1
419,av villas,impuesto predial,p,pagos web,9,5,341572,4
420,av villas,impuesto predial,p,pagos web,10,0,3888334,6
421,av villas,impuesto predial,p,pagos web,10,2,5248012,5
422,av villas,impuesto predial,p,pagos web,10,3,1602210,4
423,av villas,impuesto predial,p,pagos web,10,4,3845022,5
424,av villas,impuesto predial,p,pagos web,10,6,87324,1
425,av villas,impuesto predial,p,pagos web,11,0,1897582,5
426,av villas,impuesto predial,p,pagos web,11,1,847065,2
427,av villas,impuesto predial,p,pagos web,11,2,1326349,3
428,av villas,impuesto predial,p,pagos web,11,3,369163,3
429,av villas,impuesto predial,p,pagos web,11,4,66450,2
430,av villas,impuesto predial,p,pagos web,11,5,321193,1
431,av villas,impuesto predial,p,pagos web,11,6,1750231,2
432,av villas,impuesto predial,p,pagos web,12,0,212676,2
433,av villas,impuesto predial,p,pagos web,12,1,108815,1
434,av villas,impuesto predial,p,pagos web,12,2,1568663,3
435,av villas,impuesto predial,p,pagos web,12,4,967468,3
436,av villas,impuesto predial,p,pagos web,12,5,442974,1
437,av villas,impuesto predial,p,pagos web,13,0,2960885,5
438,av villas,impuesto predial,p,pagos web,13,1,594464,2
