Banco,Contrato,Origen,Tipo archivo recaudo,Cuenta
bancolombia,sobretasa a la gasolina,presencial,pagos presencial,1
bancolombia,servicios,a,pagos web,1
evolve bank & trust,industria y comercio,p,pagos web,1
nummi.s.a.,alumbrado publico,p,pagos web,1
nummi.s.a.,impuesto predial,p,pagos web,1
oao swedbank,impuesto predial,n,pagos web,1
bancocajasocial,estampilla procultura,presencial,pagos presencial,1
"banco santander mexicano, s.a.",impuesto predial,p,pagos web,1
occidente,aportes voluntarios,presencial,pagos presencial,1
bancocajasocial,espectaculos publicos,presencial,pagos presencial,1
banco union antes giros,industria y comercio,n,pagos web,1
banco serfinanza s.a,industria y comercio,n,pagos web,1
banco serfinanza,facilidades,a,pagos web,1
banco santander-chile,servicios,n,pagos web,1
"banco santander, s.a,",impuesto predial,n,pagos web,1
"banco santander rio, s.a.",servicios,n,pagos web,1
nationwide building society,impuesto predial,p,pagos web,1
national westminster bank plc,impuesto predial,p,pagos web,1
car s.a.,impuesto predial,n,pagos web,1
lulo bank,facilidades,n,pagos web,1
lge community c.u.,facilidades,p,pagos web,1
caja de ahorros y pensiones de,impuesto predial,a,pagos web,1
lloyds bank plc,impuesto predial,n,pagos web,1
lloyds bank plc,impuesto predial,p,pagos web,1
"caja de ahorros de galicia, vi",servicios,n,pagos web,1
"caja de ahorros de galicia, vi",impuesto predial,p,pagos web,1
lulo bank,circulacion y transito,n,pagos web,1
caixa d'estalvis unio de caixe,industria y comercio,n,pagos web,1
caisse nationale des caisses d,impuesto predial,p,pagos web,1
caja laboral popular de mondra,facilidades,p,pagos web,1
lulo bank,impuesto predial,a,pagos web,1
caisse nationale de credit agr,impuesto predial,p,pagos web,1
caisse nationale de credit agr,impuesto predial,a,pagos web,1
bogota_1,exogena reteica,presencial,pagos presencial,1
lulo bank sa,facilidades,p,pagos web,1
lulo bank sa,impuesto predial,a,pagos web,1
bogota_1,estampilla procultura,presencial,pagos presencial,1
bnp paribas,impuesto predial,p,pagos web,1
leesport bank,impuesto predial,n,pagos web,1
caja laboral popular de mondra,impuesto predial,p,pagos web,1
bnp paribas,impuesto predial,n,pagos web,1
capital one bank (canada branc,impuesto predial,p,pagos web,1
itaú,servicios,n,pagos web,1
its bank,impuesto predial,p,pagos web,1
"ixe banco, s.a.",industria y comercio,n,pagos web,1
"ixe banco, s.a.",industria y comercio,p,pagos web,1
jpmorgan chase bank n.a.,impuesto predial,a,pagos web,1
"capital one bank (usa), n.a.",industria y comercio,p,pagos web,1
"jpmorgan chase bank, n.a.",espectaculos publicos,n,pagos web,1
capital one bank (usa) n.a.,facilidades,p,pagos web,1
"capital bank, inc.",impuesto predial,n,pagos web,1
caja social bcs,circulacion y transito,a,pagos web,1
canadian imperial bank of comm,impuesto predial,a,pagos web,1
canadian imperial bank of comm,facilidades,n,pagos web,1
campus usa credit union,impuesto predial,a,pagos web,1
kinecta federal credit union,industria y comercio,p,pagos web,1
california bank and trust,impuesto predial,n,pagos web,1
caja social bcs,circulacion y transito,p,pagos web,1
la banque postale,industria y comercio,n,pagos web,1
la federation des caisses desj,impuesto predial,a,pagos web,1
macy's,facilidades,n,pagos web,1
master - master,alumbrado publico,p,pagos web,1
barclays bank delaware,industria y comercio,p,pagos web,1
n26 gmbh,delineación urbana,a,pagos web,1
movii sa,facilidades,n,pagos web,1
bbva,impuesto telefonico,p,pagos web,1
movii sa,impuesto predial,n,pagos web,1
bbva,delineación urbana,n,pagos web,1
movii sa,impuesto telefonico,p,pagos web,1
bb and t financial f.s.b.,impuesto predial,p,pagos web,1
