Banco,Contrato,Origen,Hora,Tipo archivo recaudo,Cuenta
bancolombia - botón bancolombi,facilidades,a,7,pagos web,13
cotrafa,impuesto predial,p,17,pagos web,13
bbva colombia s.a,industria y comercio,p,10,pagos web,13
bbva,impuesto predial,n,10,pagos web,13
nequi,circulacion y transito,p,14,pagos web,13
confiar cooperativa financiera,impuesto predial,n,11,pagos web,13
bancolombia cayman,impuesto predial,p,12,pagos web,13
banco itau,facilidades,p,12,pagos web,13
banco itau,industria y comercio,n,13,pagos web,13
cotrafa,impuesto predial,p,19,pagos web,13
banco popular,impuesto predial,n,22,pagos web,13
banco de bogota,circulacion y transito,p,14,pagos web,13
itaú,impuesto predial,a,22,pagos web,13
bancolombia,deguello de ganado,p,14,pagos web,13
banco caja social,circulacion y transito,p,10,pagos web,13
bancolombia,delineación urbana,n,10,pagos web,13
popular,ingresos no tributarios,presencial,9,pagos presencial,13
"rappipay, s.a.s.",impuesto predial,a,7,pagos web,13
itaú,impuesto predial,a,21,pagos web,13
chase bank usa n.a.,impuesto predial,p,15,pagos web,13
confiar,ingresos no tributarios,presencial,9,pagos presencial,13
banco de bogota,otros ingresos,p,13,pagos web,13
confiar cooperativa financiera,facilidades,p,16,pagos web,13
bancolombia,ingresos no tributarios,n,18,pagos web,13
american express us consumer,impuesto predial,p,16,pagos web,13
falabella,industria y comercio,p,18,pagos web,13
bbva,impuesto predial,a,7,pagos web,13
bank of america,impuesto predial,p,8,pagos web,13
"banco davivienda, s.a.",industria y comercio,p,19,pagos web,13
banco itau,facilidades,p,11,pagos web,13
occidente,transferencias,presencial,15,pagos presencial,13
bancolombia,impuesto predial,w,21,pagos web,13
banco bbva colombia s.a.,alumbrado publico,p,15,pagos web,13
banco caja social,publicidad exterior visual,p,18,pagos web,13
bancolombia s.a.,facilidades,p,6,pagos web,13
"rappipay, s.a.s.",impuesto predial,n,17,pagos web,13
bancolombia,estampilla procultura,p,9,pagos web,13
bbva colombia s.a,impuesto predial,n,14,pagos web,13
colpatria,delineación urbana,presencial,16,pagos presencial,13
banco de bogota,transferencias,p,11,pagos web,13
bbva colombia s.a,impuesto predial,n,16,pagos web,13
bancolombia,aprov.esp.pub,p,19,pagos web,13
banco bogota,impuesto predial,p,22,pagos web,13
nequi,industria y comercio,a,12,pagos web,13
banco de bogota,transferencias,p,14,pagos web,13
colpatria,ingresos no tributarios,presencial,17,pagos presencial,13
bancoomeva,impuesto predial,p,10,pagos web,13
"banco davivienda, s.a.",impuesto predial,n,19,pagos web,13
nequi,facilidades,n,20,pagos web,13
"capital one bank (usa), n.a.",impuesto predial,p,15,pagos web,13
"banco davivienda, s.a.",impuesto predial,n,20,pagos web,13
banco itau,rendimientos financieros y recursos no ejecutados,n,15,pagos web,13
itaú,industria y comercio,p,19,pagos web,13
banco av villas s.a.,impuesto predial,p,23,pagos web,13
avvillas,préstamos hipotecarios,presencial,8,pagos presencial,13
"banco davivienda, s.a.",industria y comercio,p,12,pagos web,13
bancolombia,facilidades,a,7,pagos web,13
banco de occidente,movilidad,p,10,pagos web,13
banco bogota,impuesto predial,p,7,pagos web,13
banco de occidente,movilidad,p,13,pagos web,13
banco bbva colombia s.a.,ingresos no tributarios,p,11,pagos web,13
avvillas,circulacion y transito,presencial,17,pagos presencial,12
banco av villas,facilidades,p,16,pagos web,12
bbva,ingresos no tributarios,presencial,16,pagos presencial,12
falabella,facilidades,p,18,pagos web,12
cotrafa,otros ingresos,presencial,12,pagos presencial,12
nu pagamentos sa,facilidades,p,14,pagos web,12
bancolombia,industria y comercio,w,10,pagos web,12
bancolombia,deguello de ganado,p,11,pagos web,12
banco de bogota,otros ingresos,p,9,pagos web,12
banco de bogotá s.a.,industria y comercio,p,14,pagos web,12
banco de bogotá s.a.,industria y comercio,p,15,pagos web,12
banco de bogota,facilidades,n,15,pagos web,12
bogota_1,impuesto predial,presencial,7,pagos presencial,12
banco popular,facilidades,p,10,pagos web,12
banco bbva colombia s.a.,industria y comercio,p,5,pagos web,12
banco de bogota,facilidades,n,16,pagos web,12
banco de occidente,impuesto predial,a,11,pagos web,12
banco bbva colombia s.a.,impuesto predial,n,4,pagos web,12
banco de bogota,otros ingresos,p,11,pagos web,12
banco de bogotá s.a.,industria y comercio,p,10,pagos web,12
bancolombia,rentas contractuales,a,15,pagos web,12
"jpmorgan chase bank, n.a.",impuesto predial,p,12,pagos web,12
bancolombia - botón bancolombi,publicidad exterior visual,p,12,pagos web,12
citibank,retencion ica,p,13,pagos web,12
banco av villas,facilidades,p,7,pagos web,12
banco itau,rendimientos financieros y recursos no ejecutados,p,18,pagos web,12
banco bbva colombia s.a.,retencion ica,n,15,pagos web,12
itaú,impuesto predial,a,11,pagos web,12
banco bbva colombia s.a.,otros ingresos,p,9,pagos web,12
banco falabella,facilidades,p,23,pagos web,12
bbva colombia s.a,impuesto predial,p,6,pagos web,12
banco bbva colombia s.a.,retencion ica,n,10,pagos web,12
coltefinanciera,impuesto predial,p,14,pagos web,12
nu pagamentos sa,impuesto predial,a,15,pagos web,12
bbva,facilidades,p,18,pagos web,12
bancolombia - botón bancolombi,publicidad exterior visual,n,17,pagos web,12
banco de bogota,otros ingresos,p,12,pagos web,12
visa - visa,impuesto predial,p,14,pagos web,12
bbva colombia s.a,impuesto predial,n,21,pagos web,12
banco davivienda,publicidad exterior visual,p,22,pagos web,12
bbva colombia s.a,impuesto predial,n,20,pagos web,12
banco de bogota,ingresos no tributarios,p,10,pagos web,12
citibank,alumbrado publico,p,8,pagos web,12
banco davivienda,industria y comercio,p,4,pagos web,12
confiar,retencion ica,presencial,15,pagos presencial,12
banco de bogota,impuesto predial,p,2,pagos web,12
banco de occidente,impuesto predial,a,15,pagos web,12
banco davivienda,publicidad exterior visual,p,7,pagos web,12
bbva colombia s.a,impuesto predial,n,9,pagos web,12
banco davivienda,aprov.esp.pub,p,11,pagos web,12
avvillas,préstamos hipotecarios,presencial,14,pagos presencial,12
banco cooperativo coopcentral,impuesto predial,p,5,pagos web,12
bancocajasocial,delineación urbana,presencial,11,pagos presencial,12
banco davivienda,industria y comercio,p,1,pagos web,12
banco de bogota,ingresos no tributarios,p,12,pagos web,12
banco de bogota,impuesto predial,a,23,pagos web,12
banco pichincha s.a.,industria y comercio,p,15,pagos web,12
banco davivienda,publicidad exterior visual,p,19,pagos web,12
popular,rentas contractuales,presencial,14,pagos presencial,12
compania de financiamiento tuy,impuesto predial,a,8,pagos web,12
banco falabella,circulacion y transito,p,11,pagos web,12
banco falabella,circulacion y transito,p,13,pagos web,12
colpatria,delineación urbana,presencial,8,pagos presencial,12
"chase bank usa, n.a.",impuesto predial,p,22,pagos web,12
banco caja social,facilidades,p,22,pagos web,12
bancolombia - botón bancolombi,impuesto predial,n,1,pagos web,12
daviplata,impuesto predial,a,16,pagos web,12
bancolombia - botón bancolombi,rentas contractuales,n,7,pagos web,12
banco av villas,impuesto predial,n,8,pagos web,12
banco de bogota,facilidades,n,22,pagos web,12
avvillas,alumbrado publico,presencial,16,pagos presencial,12
gnb sudameris,impuesto predial,p,19,pagos web,12
banco davivienda,publicidad exterior visual,p,20,pagos web,12
banco de bogota,movilidad,p,10,pagos web,12
coltefinanciera,impuesto predial,p,10,pagos web,12
scotiabank colpatria,alumbrado publico,p,17,pagos web,12
nu pagamentos sa,facilidades,p,8,pagos web,12
scotiabank colpatria s.a.,impuesto predial,n,7,pagos web,12
bancolombia - botón bancolombi,impuesto predial,w,20,pagos web,12
bbva colombia s.a,impuesto predial,a,21,pagos web,12
bancolombia,rentas contractuales,a,10,pagos web,12
banco davivienda,alumbrado publico,p,23,pagos web,12
banco cooperativo coopcentral,impuesto predial,n,12,pagos web,12
banco caja social s.a.,impuesto predial,p,18,pagos web,12
bancolombia,delineación urbana,p,21,pagos web,12
bbva colombia s.a,impuesto predial,n,15,pagos web,12
hsbc,impuesto predial,p,18,pagos web,12
banco caja social s.a.,impuesto predial,p,12,pagos web,12
banco caja social s.a.,impuesto predial,p,10,pagos web,12
nequi,impuesto predial,a,0,pagos web,12
citibank,industria y comercio,n,16,pagos web,12
coltefinanciera,impuesto predial,p,20,pagos web,12
bancolombia - botón bancolombi,impuesto telefonico,p,19,pagos web,12
banco popular,transferencias,p,14,pagos web,12
banco av villas,industria y comercio,n,14,pagos web,12
bbva,facilidades,p,11,pagos web,12
banco popular,impuesto predial,a,13,pagos web,12
scotiabank colpatria,impuesto predial,a,6,pagos web,12
itau corpbanca colombia s.a.,industria y comercio,p,17,pagos web,12
"rappipay, s.a.s.",impuesto predial,a,17,pagos web,12
banco de bogota s.a.,impuesto predial,n,14,pagos web,12
daviplata,industria y comercio,p,11,pagos web,12
bbva,delineación urbana,presencial,16,pagos presencial,12
banco colpatria,impuesto predial,a,10,pagos web,12
bancolombia - botón bancolombi,delineación urbana,p,13,pagos web,12
bancolombia - botón bancolombi,ingresos no tributarios,p,11,pagos web,12
bbva,servicios,presencial,8,pagos presencial,12
gnb sudameris,facilidades,p,10,pagos web,12
banco davivienda,impuesto predial,w,10,pagos web,12
cotrafa,aprov.esp.pub,presencial,15,pagos presencial,12
"rappipay, s.a.s.",impuesto predial,a,15,pagos web,12
banco av villas,retencion ica,p,11,pagos web,12
occidente,ingresos no tributarios,presencial,13,pagos presencial,12
banco popular,transferencias,p,15,pagos web,12
banco bbva colombia s.a.,alumbrado publico,p,17,pagos web,12
compania de financiamiento tuy,facilidades,p,7,pagos web,12
davivienda,retencion ica,presencial,13,pagos presencial,12
banco colpatria,impuesto predial,a,22,pagos web,12
bancolombia - botón bancolombi,aprov.esp.pub,p,10,pagos web,12
bancolombia,ingresos no tributarios,p,23,pagos web,12
bancolombia - botón bancolombi,industria y comercio,p,2,pagos web,12
cfa cooperativa financiera,impuesto predial,p,10,pagos web,12
cotrafa,impuesto predial,presencial,14,pagos presencial,12
davivienda,retencion ica,presencial,15,pagos presencial,12
cotrafa,impuesto predial,presencial,16,pagos presencial,12
bancolombia - botón bancolombi,circulacion y transito,p,23,pagos web,12
bbva,impuesto predial,n,18,pagos web,12
bancolombia - botón bancolombi,industria y comercio,a,7,pagos web,12
bbva,impuesto predial,n,7,pagos web,12
bancolombia s.a.,retencion ica,p,17,pagos web,12
"itau corpbanca colombia, s.a.",impuesto predial,p,23,pagos web,12
"banco davivienda, s.a.",industria y comercio,p,18,pagos web,12
banco colpatria pricesmart,industria y comercio,p,12,pagos web,12
cfa cooperativa financiera,impuesto predial,p,8,pagos web,12
banco de bogota,retencion ica,n,14,pagos web,12
banco av villas,rendimientos financieros y recursos no ejecutados,p,9,pagos web,12
bbva,impuesto predial,presencial,17,pagos presencial,12
"rappipay, s.a.s.",impuesto predial,n,7,pagos web,12
bancolombia - botón bancolombi,aprov.esp.pub,n,21,pagos web,12
gnb,rentas contractuales,presencial,10,pagos presencial,12
scotiabank colpatria,facilidades,n,10,pagos web,12
confiar,aprov.esp.pub,presencial,9,pagos presencial,12
bbva,retencion ica,presencial,13,pagos presencial,12
banco av villas s.a.,industria y comercio,p,16,pagos web,12
banco av villas,recursos fonset,p,13,pagos web,12
"itau corpbanca colombia, s.a.",impuesto predial,n,19,pagos web,12
banco de bogota,circulacion y transito,p,12,pagos web,12
bancolombia,publicidad exterior visual,p,22,pagos web,12
nequi,circulacion y transito,p,9,pagos web,12
falabella,impuesto predial,a,12,pagos web,12
gnb sudameris,facilidades,p,13,pagos web,12
banco falabella,industria y comercio,n,10,pagos web,12
cotrafa,servicios,presencial,8,pagos presencial,12
"banco de occidente, s.a.",impuesto predial,n,13,pagos web,12
banco davivienda,transferencias,p,13,pagos web,12
avvillas,impuesto predial,presencial,18,pagos presencial,12
falabella,industria y comercio,p,20,pagos web,12
"banco davivienda, s.a.",impuesto predial,a,8,pagos web,12
bbva,industria y comercio,p,22,pagos web,12
bbva,impuesto telefonico,presencial,9,pagos presencial,12
"rappipay, s.a.s.",impuesto predial,n,18,pagos web,12
banco caja social,circulacion y transito,p,17,pagos web,12
citibank,industria y comercio,n,15,pagos web,12
bancolombia,publicidad exterior visual,p,21,pagos web,12
bancolombia,rentas contractuales,a,22,pagos web,12
bancolombia s.a.,rentas contractuales,p,11,pagos web,12
occidente,publicidad exterior visual,presencial,13,pagos presencial,12
confiar,ingresos no tributarios,presencial,10,pagos presencial,12
bcsc,industria y comercio,p,14,pagos web,12
bancolombia,publicidad exterior visual,p,6,pagos web,12
bancolombia,publicidad exterior visual,p,4,pagos web,12
banco de occidente,rendimientos financieros y recursos no ejecutados,p,18,pagos web,12
banco av villas s.a.,impuesto predial,n,17,pagos web,12
banco caja social,circulacion y transito,p,9,pagos web,12
banco de occidente,transferencias,p,10,pagos web,12
banco de bogota s.a.,industria y comercio,p,15,pagos web,12
bogota_1,retencion ica,presencial,8,pagos presencial,12
compania de financiamiento tuy,impuesto predial,a,16,pagos web,12
banco de occidente,rentas contractuales,p,12,pagos web,12
banco popular,facilidades,p,21,pagos web,12
nequi,industria y comercio,n,22,pagos web,12
"itau corpbanca colombia, s.a.",impuesto predial,n,15,pagos web,12
banco popular,alumbrado publico,p,18,pagos web,12
bancolombia s.a.,circulacion y transito,a,15,pagos web,12
scotiabank colpatria,impuesto predial,p,4,pagos web,12
banco de occidente,retencion ica,n,12,pagos web,12
confiar,industria y comercio,presencial,17,pagos presencial,12
banco davivienda,aprov.esp.pub,n,10,pagos web,11
banco caja social,impuesto predial,a,8,pagos web,11
cfa cooperativa financiera,impuesto predial,p,14,pagos web,11
cotrafa,impuesto predial,presencial,12,pagos presencial,11
bancolombia s.a.,industria y comercio,p,0,pagos web,11
daviplata,impuesto predial,a,20,pagos web,11
cfa cooperativa financiera,impuesto predial,p,19,pagos web,11
nu pagamentos sa,impuesto predial,a,13,pagos web,11
bancolombia,impuesto telefonico,n,14,pagos web,11
bancoomeva s.a.,industria y comercio,p,20,pagos web,11
banco de bogota,industria y comercio,n,7,pagos web,11
banco de bogotá s.a.,industria y comercio,p,11,pagos web,11
bancolombia - botón bancolombi,industria y comercio,a,23,pagos web,11
banco gnb sudameris,circulacion y transito,p,10,pagos web,11
banco davivienda,facilidades,n,12,pagos web,11
davivienda,aprov.esp.pub,presencial,16,pagos presencial,11
banco davivienda,facilidades,p,5,pagos web,11
coltefinanciera,impuesto predial,p,12,pagos web,11
ripley visa,impuesto predial,p,18,pagos web,11
nu pagamentos sa,industria y comercio,p,19,pagos web,11
cfa cooperativa financiera,impuesto predial,p,13,pagos web,11
bancolombia,impuesto predial,w,8,pagos web,11
davivienda,aprov.esp.pub,presencial,17,pagos presencial,11
compania de financiamiento tuy,impuesto predial,n,19,pagos web,11
banco bbva colombia s.a.,publicidad exterior visual,p,12,pagos web,11
banco falabella,industria y comercio,p,6,pagos web,11
confiar cooperativa financiera,impuesto predial,n,20,pagos web,11
confiar cooperativa financiera,industria y comercio,p,18,pagos web,11
bancolombia,retencion ica,n,7,pagos web,11
nu pagamentos sa,industria y comercio,p,15,pagos web,11
cfa,circulacion y transito,presencial,14,pagos presencial,11
"rappipay, s.a.s.",facilidades,p,10,pagos web,11
banco davivienda,impuesto telefonico,p,10,pagos web,11
bancolombia,retencion ica,p,23,pagos web,11
banco de bogota,otros ingresos,p,8,pagos web,11
gnb sudameris,impuesto predial,p,12,pagos web,11
american express us consumer,impuesto predial,p,17,pagos web,11
bancolombia - botón bancolombi,ingresos no tributarios,p,21,pagos web,11
nu pagamentos sa,industria y comercio,p,12,pagos web,11
scotiabank colpatria s.a.,alumbrado publico,p,17,pagos web,11
banco de bogota,otros ingresos,p,17,pagos web,11
banco falabella,industria y comercio,n,17,pagos web,11
bancolombia,rentas contractuales,a,8,pagos web,11
banco falabella,industria y comercio,n,14,pagos web,11
bbva,impuesto predial,n,8,pagos web,11
banco de bogota s.a.,industria y comercio,p,9,pagos web,11
banco de bogota s.a.,industria y comercio,p,18,pagos web,11
banco de bogota s.a.,industria y comercio,p,17,pagos web,11
confiar cooperativa financiera,industria y comercio,p,19,pagos web,11
"rappipay, s.a.s.",impuesto predial,a,13,pagos web,11
bogota_1,retencion ica,presencial,13,pagos presencial,11
banco gnb sudameris,facilidades,p,12,pagos web,11
cfa cooperativa financiera,impuesto predial,p,22,pagos web,11
banco caja social,alumbrado publico,p,15,pagos web,11
nequi,facilidades,n,8,pagos web,11
bancolombia - botón bancolombi,impuesto predial,w,7,pagos web,11
banco falabella,impuesto predial,n,23,pagos web,11
banco davivienda,facilidades,a,13,pagos web,11
gnb,préstamos hipotecarios,presencial,10,pagos presencial,11
banco de bogota,rendimientos financieros y recursos no ejecutados,p,19,pagos web,11
bbva,retencion ica,presencial,12,pagos presencial,11
cfa,préstamos hipotecarios,presencial,11,pagos presencial,11
banco santander,industria y comercio,p,9,pagos web,11
caja social bcs,impuesto predial,p,13,pagos web,11
bancolombia s.a.,retencion ica,p,10,pagos web,11
bbva,servicios,presencial,11,pagos presencial,11
daviplata,industria y comercio,p,18,pagos web,11
bbva,delineación urbana,presencial,9,pagos presencial,11
banco de bogota s.a.,impuesto predial,n,9,pagos web,11
daviplata,industria y comercio,p,9,pagos web,11
bancolombia - botón bancolombi,ingresos no tributarios,p,15,pagos web,11
redeban multicolor s.a.,impuesto predial,p,6,pagos web,11
bancolombia s.a.,ingresos no tributarios,p,13,pagos web,11
davivienda,retencion ica,presencial,10,pagos presencial,11
citibank n.a.,impuesto predial,p,18,pagos web,11
bancolombia,delineación urbana,presencial,20,pagos presencial,11
banco de occidente,impuesto predial,n,7,pagos web,11
"banco de occidente, s.a.",facilidades,p,13,pagos web,11
banco popular,facilidades,p,22,pagos web,11
cotrafa,servicios,presencial,11,pagos presencial,11
cotrafa,servicios,presencial,9,pagos presencial,11
bancocajasocial,servicios,presencial,10,pagos presencial,11
bancolombia - botón bancolombi,alumbrado publico,p,6,pagos web,11
"banco de occidente, s.a.",facilidades,p,21,pagos web,11
"banco de occidente, s.a.",facilidades,p,15,pagos web,11
banco de occidente,industria y comercio,n,7,pagos web,11
bancolombia - botón bancolombi,delineación urbana,p,16,pagos web,11
bancolombia - botón bancolombi,delineación urbana,p,9,pagos web,11
bancolombia s.a.,circulacion y transito,p,13,pagos web,11
banco popular,impuesto predial,a,10,pagos web,11
banco bbva colombia s.a.,circulacion y transito,p,20,pagos web,11
banco de occidente,industria y comercio,n,18,pagos web,11
bancolombia s.a.- nequi,impuesto predial,n,16,pagos web,11
itau corpbanca colombia s.a.,industria y comercio,p,15,pagos web,11
banco colpatria pricesmart,industria y comercio,p,21,pagos web,11
banco bbva colombia s.a.,circulacion y transito,p,16,pagos web,11
banco popular,transferencias,p,10,pagos web,11
banco av villas,industria y comercio,n,10,pagos web,11
banco av villas,industria y comercio,n,8,pagos web,11
itaú,facilidades,p,21,pagos web,11
banco de occidente,impuesto predial,a,17,pagos web,11
banco de occidente,impuesto predial,a,18,pagos web,11
bancolombia s.a.,industria y comercio,a,21,pagos web,11
scotiabank colpatria,publicidad exterior visual,p,14,pagos web,11
scotiabank colpatria,publicidad exterior visual,p,11,pagos web,11
bancolombia cayman,impuesto predial,p,16,pagos web,11
confiar,pot.,presencial,14,pagos presencial,11
bbva colombia s.a,impuesto predial,a,19,pagos web,11
banco coomeva s.a.,impuesto predial,p,13,pagos web,11
nequi,servicios,n,11,pagos web,11
banco coomeva s.a.,impuesto predial,p,11,pagos web,11
banco coomeva s.a.,impuesto predial,p,7,pagos web,11
scotiabank colpatria s.a.,impuesto predial,n,22,pagos web,11
citibank,impuesto predial,a,22,pagos web,11
falabella,industria y comercio,p,17,pagos web,11
banco colpatria,facilidades,p,7,pagos web,11
"banco de occidente, s.a.",impuesto predial,n,7,pagos web,11
banco colpatria pricesmart,industria y comercio,p,16,pagos web,11
avvillas,ingresos no tributarios,presencial,12,pagos presencial,11
scotiabank colpatria,recursos fonset,p,8,pagos web,11
banco de occidente,rendimientos financieros y recursos no ejecutados,p,7,pagos web,11
bancolombia,aprov.esp.pub,p,21,pagos web,11
nequi,industria y comercio,a,8,pagos web,11
finandina,impuesto predial,p,6,pagos web,11
banco colpatria pricesmart,impuesto predial,n,10,pagos web,11
nequi,industria y comercio,a,15,pagos web,11
bancolombia - botón bancolombi,circulacion y transito,p,7,pagos web,11
bancolombia - botón bancolombi,circulacion y transito,n,17,pagos web,11
banco popular s.a.,impuesto predial,p,12,pagos web,11
scotiabank colpatria,impuesto predial,n,6,pagos web,11
bancolombia s.a.- nequi,impuesto predial,p,7,pagos web,11
bancolombia s.a.,facilidades,p,2,pagos web,11
banco av villas s.a.,industria y comercio,p,17,pagos web,11
davivienda,impuesto telefonico,presencial,12,pagos presencial,11
banco av villas s.a.,industria y comercio,p,12,pagos web,11
nequi,industria y comercio,p,0,pagos web,11
banco de occidente,rentas contractuales,p,14,pagos web,11
"banco davivienda, s.a.",impuesto predial,a,17,pagos web,11
avvillas,servicios,presencial,8,pagos presencial,11
bancolombia,pot.,presencial,7,pagos presencial,11
banco av villas,recursos fonset,p,16,pagos web,11
banco davivienda s.a.,industria y comercio,p,16,pagos web,11
banco bbva colombia s.a.,alumbrado publico,p,13,pagos web,11
scotiabank colpatria,facilidades,n,8,pagos web,11
banco popular,impuesto predial,a,19,pagos web,11
bancolombia,alumbrado publico,n,21,pagos web,11
bbva colombia s.a,impuesto predial,a,14,pagos web,11
occidente,movilidad,presencial,15,pagos presencial,11
banco colpatria,impuesto predial,p,4,pagos web,11
banco occidente,impuesto predial,p,17,pagos web,11
