Banco,Contrato,Origen,Hora,Tipo archivo recaudo,Cuenta
bancolombia,movilidad,n,12,pagos web,11
"itau corpbanca colombia, s.a.",industria y comercio,p,18,pagos web,11
"banco davivienda, s.a.",industria y comercio,p,17,pagos web,11
falabella,industria y comercio,p,8,pagos web,11
banco popular,impuesto predial,n,20,pagos web,11
banco de occidente,movilidad,p,16,pagos web,11
cfa,industria y comercio,presencial,13,pagos presencial,11
banco davivienda s.a.,industria y comercio,p,14,pagos web,11
banco popular s.a.,impuesto predial,p,20,pagos web,11
bancolombia - botón bancolombi,circulacion y transito,p,22,pagos web,11
falabella,facilidades,p,21,pagos web,11
compania de financiamiento tuy,impuesto predial,n,8,pagos web,11
banco coomeva s.a.,impuesto predial,p,19,pagos web,11
banco av villas,impuesto predial,n,7,pagos web,11
banco caja social,recursos fonset,p,21,pagos web,11
bogota_1,aprov.esp.pub,presencial,9,pagos presencial,11
confiar,retencion ica,presencial,10,pagos presencial,11
bancocajasocial,delineación urbana,presencial,10,pagos presencial,11
cotrafa,industria y comercio,presencial,18,pagos presencial,11
cotrafa,ingresos no tributarios,presencial,11,pagos presencial,11
