contrato;tipo_archivo_recaudo;periodo;mes;total_recaudo;total_transacciones;periodo_mes
publicidad exterior visual;presencial;2017;7;190893658;575;2017-7-1
recursos fonset;presencial;2017;7;5706070688;28;2017-7-1
rentas contractuales;presencial;2017;7;3802884239;813;2017-7-1
retencion ica;presencial;2017;7;1914571305;648;2017-7-1
servicios;presencial;2017;7;1610192610;29831;2017-7-1
sistema de ventas por club;presencial;2017;7;1752175;6;2017-7-1
sobretasa a la gasolina;presencial;2017;7;8787169000;8;2017-7-1
transferencias;presencial;2017;7;2740347835;39;2017-7-1
alumbrado publico;presencial;2017;8;9125812062;114;2017-8-1
circulacion y transito;presencial;2017;8;1738166901;2084;2017-8-1
constructores;presencial;2017;8;340318079;7;2017-8-1
cuotas partes jubilatorias;presencial;2017;8;1682322574;50;2017-8-1
deguello de ganado;presencial;2017;8;224977917;3;2017-8-1
delineacion urbana;presencial;2017;8;1107156049;131;2017-8-1
espectaculos publicos;presencial;2017;8;939946603;26;2017-8-1
estampilla procultura;presencial;2017;8;196447385;10;2017-8-1
impuesto predial;presencial;2017;8;62320832090;165481;2017-8-1
impuesto telefonico;presencial;2017;8;2369484324;9;2017-8-1
industria y comercio;presencial;2017;8;51739713876;41119;2017-8-1
ingresos no tributarios;presencial;2017;8;10868871007;108956;2017-8-1
multas codigo de policia;presencial;2017;8;15836261;84;2017-8-1
otros ingresos;presencial;2017;8;94262175090;439;2017-8-1
otros ingresos tributarios;presencial;2017;8;37672056;10;2017-8-1
publicacion gaceta oficial;presencial;2017;8;154000;1;2017-8-1
publicidad exterior visual;presencial;2017;8;197693816;630;2017-8-1
recursos fonset;presencial;2017;8;9654314829;69;2017-8-1
rentas contractuales;presencial;2017;8;3920928596;700;2017-8-1
retencion ica;presencial;2017;8;34321228;21;2017-8-1
servicios;presencial;2017;8;1767623027;30022;2017-8-1
sistema de ventas por club;presencial;2017;8;4013548;4;2017-8-1
sobretasa a la gasolina;presencial;2017;8;9229088000;8;2017-8-1
transferencias;presencial;2017;8;13960632150;41;2017-8-1
alumbrado publico;presencial;2017;9;4892676281;2099;2017-9-1
circulacion y transito;presencial;2017;9;819763653;2158;2017-9-1
constructores;presencial;2017;9;473957779;6;2017-9-1
cuotas partes jubilatorias;presencial;2017;9;953330000;30;2017-9-1
deguello de ganado;presencial;2017;9;225864630;2;2017-9-1
delineacion urbana;presencial;2017;9;1121596042;211;2017-9-1
espectaculos publicos;presencial;2017;9;266788948;16;2017-9-1
estampilla procultura;presencial;2017;9;139243626;11;2017-9-1
impuesto predial;presencial;2017;9;33367043267;94385;2017-9-1
impuesto telefonico;presencial;2017;9;2342472518;7;2017-9-1
industria y comercio;presencial;2017;9;47751034327;41147;2017-9-1
ingresos no tributarios;presencial;2017;9;13087254814;106701;2017-9-1
multas codigo de policia;presencial;2017;9;71038863;328;2017-9-1
otros ingresos;presencial;2017;9;1,10239E+11;574;2017-9-1
otros ingresos tributarios;presencial;2017;9;23779668;16;2017-9-1
publicidad exterior visual;presencial;2017;9;260145453;603;2017-9-1
recursos fonset;presencial;2017;9;8686615256;91;2017-9-1
rentas contractuales;presencial;2017;9;3634073676;831;2017-9-1
retencion ica;presencial;2017;9;2010412137;641;2017-9-1
servicios;presencial;2017;9;1470146900;27492;2017-9-1
sistema de ventas por club;presencial;2017;9;732060;2;2017-9-1
sobretasa a la gasolina;presencial;2017;9;9474565000;8;2017-9-1
transferencias;presencial;2017;9;2699570476;39;2017-9-1
alumbrado publico;presencial;2017;10;5109721783;9329;2017-10-1
circulacion y transito;presencial;2017;10;836454081;2315;2017-10-1
constructores;presencial;2017;10;339295047;4;2017-10-1
cuotas partes jubilatorias;presencial;2017;10;85883978;28;2017-10-1
deguello de ganado;presencial;2017;10;214311410;2;2017-10-1
delineacion urbana;presencial;2017;10;3041438722;196;2017-10-1
espectaculos publicos;presencial;2017;10;405513971;15;2017-10-1
estampilla procultura;presencial;2017;10;139651256;10;2017-10-1
impuesto predial;presencial;2017;10;1,09162E+11;156213;2017-10-1
impuesto telefonico;presencial;2017;10;2328412360;103;2017-10-1
industria y comercio;presencial;2017;10;51044505467;44324;2017-10-1
ingresos no tributarios;presencial;2017;10;16603590734;114892;2017-10-1
multas codigo de policia;presencial;2017;10;48510073;242;2017-10-1
otros ingresos;presencial;2017;10;99114936826;491;2017-10-1
otros ingresos tributarios;presencial;2017;10;36321735;17;2017-10-1
publicidad exterior visual;presencial;2017;10;162885231;548;2017-10-1
recursos fonset;presencial;2017;10;7801393362;117;2017-10-1
rentas contractuales;presencial;2017;10;3684128294;588;2017-10-1
retencion ica;presencial;2017;10;121502800;56;2017-10-1
servicios;presencial;2017;10;1705939101;31267;2017-10-1
sistema de ventas por club;presencial;2017;10;395080;1;2017-10-1
sobretasa a la gasolina;presencial;2017;10;9261484000;8;2017-10-1
transferencias;presencial;2017;10;15613146155;19;2017-10-1
alumbrado publico;presencial;2017;11;6366728670;971;2017-11-1
circulacion y transito;presencial;2017;11;916005517;1669;2017-11-1
constructores;presencial;2017;11;194440937;5;2017-11-1
cuotas partes jubilatorias;presencial;2017;11;198415622;61;2017-11-1
deguello de ganado;presencial;2017;11;210310605;2;2017-11-1
delineacion urbana;presencial;2017;11;585054558;167;2017-11-1
espectaculos publicos;presencial;2017;11;295239904;12;2017-11-1
estampilla procultura;presencial;2017;11;170810947;11;2017-11-1
impuesto predial;presencial;2017;11;51477978737;155815;2017-11-1
impuesto telefonico;presencial;2017;11;2320326966;81;2017-11-1
industria y comercio;presencial;2017;11;51093914398;42626;2017-11-1
ingresos no tributarios;presencial;2017;11;14380730585;114377;2017-11-1
multas codigo de policia;presencial;2017;11;54854122;239;2017-11-1
otros ingresos;presencial;2017;11;95374139925;460;2017-11-1
otros ingresos tributarios;presencial;2017;11;71010668;20;2017-11-1
publicidad exterior visual;presencial;2017;11;196163757;698;2017-11-1
recursos fonset;presencial;2017;11;6083696363;121;2017-11-1
rentas contractuales;presencial;2017;11;3561938327;640;2017-11-1
retencion ica;presencial;2017;11;2141795809;633;2017-11-1
servicios;presencial;2017;11;2192026530;40709;2017-11-1
sistema de ventas por club;presencial;2017;11;395080;1;2017-11-1
sobretasa a la gasolina;presencial;2017;11;9179874000;10;2017-11-1
transferencias;presencial;2017;11;4067810478;31;2017-11-1
alumbrado publico;presencial;2017;12;7489438292;546;2017-12-1
circulacion y transito;presencial;2017;12;624603747;1172;2017-12-1
constructores;presencial;2017;12;183568185;3;2017-12-1
cuotas partes jubilatorias;presencial;2017;12;2521197430;84;2017-12-1
deguello de ganado;presencial;2017;12;215737110;2;2017-12-1
delineacion urbana;presencial;2017;12;3072158463;232;2017-12-1
espectaculos publicos;presencial;2017;12;179459809;9;2017-12-1
estampilla procultura;presencial;2017;12;257373153;13;2017-12-1
impuesto predial;presencial;2017;12;42500201806;130645;2017-12-1
impuesto telefonico;presencial;2017;12;2377458389;1991;2017-12-1
industria y comercio;presencial;2017;12;48389892285;43043;2017-12-1
ingresos no tributarios;presencial;2017;12;13405530320;114509;2017-12-1
multas codigo de policia;presencial;2017;12;69393176;341;2017-12-1
otros ingresos;presencial;2017;12;61286435943;680;2017-12-1
otros ingresos tributarios;presencial;2017;12;57841890;15;2017-12-1
publicidad exterior visual;presencial;2017;12;147417553;533;2017-12-1
recursos fonset;presencial;2017;12;7426982299;170;2017-12-1
rentas contractuales;presencial;2017;12;3829661060;600;2017-12-1
retencion ica;presencial;2017;12;22626000;36;2017-12-1
servicios;presencial;2017;12;1993602825;39423;2017-12-1
sistema de ventas por club;presencial;2017;12;1641906;3;2017-12-1
sobretasa a la gasolina;presencial;2017;12;9185632000;10;2017-12-1
transferencias;presencial;2017;12;76838060444;33;2017-12-1
alumbrado publico;presencial;2018;1;155914140;175;2018-1-1
circulacion y transito;presencial;2018;1;763302876;4240;2018-1-1
cuotas partes jubilatorias;presencial;2018;1;33308670;39;2018-1-1
deguello de ganado;presencial;2018;1;232067500;2;2018-1-1
delineacion urbana;presencial;2018;1;411821058;69;2018-1-1
espectaculos publicos;presencial;2018;1;48143328;6;2018-1-1
estampilla procultura;presencial;2018;1;561017586;13;2018-1-1
impuesto predial;presencial;2018;1;30962545211;37024;2018-1-1
impuesto telefonico;presencial;2018;1;2249661404;193;2018-1-1
industria y comercio;presencial;2018;1;822815136;1289;2018-1-1
ingresos no tributarios;presencial;2018;1;12078922529;118038;2018-1-1
multas codigo de policia;presencial;2018;1;56155505;243;2018-1-1
otros ingresos;presencial;2018;1;1,46841E+11;197;2018-1-1
otros ingresos tributarios;presencial;2018;1;27234410;10;2018-1-1
publicidad exterior visual;presencial;2018;1;50535846;141;2018-1-1
recursos fonset;presencial;2018;1;13280241000;62;2018-1-1
rentas contractuales;presencial;2018;1;3580361630;524;2018-1-1
retencion ica;presencial;2018;1;2884860095;856;2018-1-1
servicios;presencial;2018;1;1638955788;32819;2018-1-1
sistema de ventas por club;presencial;2018;1;302120;1;2018-1-1
sobretasa a la gasolina;presencial;2018;1;10092372000;8;2018-1-1
transferencias;presencial;2018;1;2938708531;39;2018-1-1
alumbrado publico;presencial;2018;2;9288448665;244;2018-2-1
circulacion y transito;presencial;2018;2;3144484343;3998;2018-2-1
cuotas partes jubilatorias;presencial;2018;2;1116942321;52;2018-2-1
deguello de ganado;presencial;2018;2;227242900;2;2018-2-1
delineacion urbana;presencial;2018;2;813295294;220;2018-2-1
espectaculos publicos;presencial;2018;2;769432678;12;2018-2-1
estampilla procultura;presencial;2018;2;51178997;5;2018-2-1
impuesto predial;presencial;2018;2;1,74129E+11;272315;2018-2-1
impuesto telefonico;presencial;2018;2;2280943267;222;2018-2-1
industria y comercio;presencial;2018;2;75592965912;43973;2018-2-1
ingresos no tributarios;presencial;2018;2;13651338388;106883;2018-2-1
multas codigo de policia;presencial;2018;2;96276530;269;2018-2-1
otros ingresos;presencial;2018;2;1,52969E+11;877;2018-2-1
otros ingresos tributarios;presencial;2018;2;14391657;7;2018-2-1
publicidad exterior visual;presencial;2018;2;237596998;682;2018-2-1
recursos fonset;presencial;2018;2;4162115493;23;2018-2-1
rentas contractuales;presencial;2018;2;3891195129;619;2018-2-1
retencion ica;presencial;2018;2;42365963;33;2018-2-1
servicios;presencial;2018;2;1770985428;34883;2018-2-1
sobretasa a la gasolina;presencial;2018;2;8642173000;8;2018-2-1
transferencias;presencial;2018;2;10263226632;45;2018-2-1
alumbrado publico;presencial;2018;3;5183174459;184;2018-3-1
circulacion y transito;presencial;2018;3;7141131893;2579;2018-3-1
cuotas partes jubilatorias;presencial;2018;3;182156171;30;2018-3-1
deguello de ganado;presencial;2018;3;197850100;2;2018-3-1
delineacion urbana;presencial;2018;3;1702432223;153;2018-3-1
espectaculos publicos;presencial;2018;3;556475195;14;2018-3-1
estampilla procultura;presencial;2018;3;129707000;8;2018-3-1
impuesto predial;presencial;2018;3;57356224211;154074;2018-3-1
impuesto telefonico;presencial;2018;3;2447761098;109;2018-3-1
industria y comercio;presencial;2018;3;51347804672;43309;2018-3-1
ingresos no tributarios;presencial;2018;3;12770957474;115408;2018-3-1
multas codigo de policia;presencial;2018;3;82965646;258;2018-3-1
otros ingresos;presencial;2018;3;7149191296;452;2018-3-1
otros ingresos tributarios;presencial;2018;3;7708722;4;2018-3-1
publicidad exterior visual;presencial;2018;3;129492715;437;2018-3-1
recursos fonset;presencial;2018;3;6073615220;27;2018-3-1
rentas contractuales;presencial;2018;3;3767175853;581;2018-3-1
retencion ica;presencial;2018;3;1825896887;580;2018-3-1
servicios;presencial;2018;3;1448167185;26520;2018-3-1
sobretasa a la gasolina;presencial;2018;3;8742108000;8;2018-3-1
transferencias;presencial;2018;3;2865938739;41;2018-3-1
alumbrado publico;presencial;2018;4;5328336843;189;2018-4-1
circulacion y transito;presencial;2018;4;5983397672;4745;2018-4-1
cuotas partes jubilatorias;presencial;2018;4;115161007;102;2018-4-1
deguello de ganado;presencial;2018;4;201243000;2;2018-4-1
delineacion urbana;presencial;2018;4;3753012569;208;2018-4-1
espectaculos publicos;presencial;2018;4;782970992;9;2018-4-1
estampilla procultura;presencial;2018;4;105225000;9;2018-4-1
impuesto predial;presencial;2018;4;53305875390;86581;2018-4-1
impuesto telefonico;presencial;2018;4;2417165801;43;2018-4-1
industria y comercio;presencial;2018;4;65105368695;43878;2018-4-1
ingresos no tributarios;presencial;2018;4;15527419803;121588;2018-4-1
multas codigo de policia;presencial;2018;4;96483710;285;2018-4-1
otros ingresos;presencial;2018;4;2,98782E+11;566;2018-4-1
otros ingresos tributarios;presencial;2018;4;45067743;13;2018-4-1
publicidad exterior visual;presencial;2018;4;133731804;374;2018-4-1
recursos fonset;presencial;2018;4;8769334000;66;2018-4-1
rentas contractuales;presencial;2018;4;4206593804;735;2018-4-1
retencion ica;presencial;2018;4;25067081;23;2018-4-1
servicios;presencial;2018;4;1581162457;29255;2018-4-1
sobretasa a la gasolina;presencial;2018;4;9171820000;8;2018-4-1
transferencias;presencial;2018;4;3232988527;42;2018-4-1
alumbrado publico;presencial;2018;5;5543684905;196;2018-5-1
circulacion y transito;presencial;2018;5;1274102508;5217;2018-5-1
cuotas partes jubilatorias;presencial;2018;5;172050884;49;2018-5-1
deguello de ganado;presencial;2018;5;211247800;2;2018-5-1
delineacion urbana;presencial;2018;5;2742724680;196;2018-5-1
espectaculos publicos;presencial;2018;5;812799397;12;2018-5-1
estampilla procultura;presencial;2018;5;102488000;10;2018-5-1
impuesto predial;presencial;2018;5;1,10331E+11;236983;2018-5-1
impuesto telefonico;presencial;2018;5;2480543197;430;2018-5-1
industria y comercio;presencial;2018;5;64826023925;44044;2018-5-1
ingresos no tributarios;presencial;2018;5;13545641850;110092;2018-5-1
multas codigo de policia;presencial;2018;5;100782035;294;2018-5-1
otros ingresos;presencial;2018;5;2,40193E+11;613;2018-5-1
otros ingresos tributarios;presencial;2018;5;49055532;12;2018-5-1
publicidad exterior visual;presencial;2018;5;105406088;365;2018-5-1
recursos fonset;presencial;2018;5;5984270000;76;2018-5-1
rentas contractuales;presencial;2018;5;3988460638;635;2018-5-1
retencion ica;presencial;2018;5;4686344068;631;2018-5-1
servicios;presencial;2018;5;1737031116;30482;2018-5-1
sobretasa a la gasolina;presencial;2018;5;8780984000;8;2018-5-1
transferencias;presencial;2018;5;11254441060;41;2018-5-1
alumbrado publico;presencial;2018;6;5518601415;175;2018-6-1
circulacion y transito;presencial;2018;6;1141648555;3118;2018-6-1
cuotas partes jubilatorias;presencial;2018;6;88101957;54;2018-6-1
deguello de ganado;presencial;2018;6;235249700;2;2018-6-1
delineacion urbana;presencial;2018;6;1456605023;195;2018-6-1
espectaculos publicos;presencial;2018;6;954734518;10;2018-6-1
estampilla procultura;presencial;2018;6;160638000;10;2018-6-1
impuesto predial;presencial;2018;6;42373900147;126787;2018-6-1
impuesto telefonico;presencial;2018;6;2488016548;2826;2018-6-1
industria y comercio;presencial;2018;6;46612118267;42913;2018-6-1
ingresos no tributarios;presencial;2018;6;26332641151;107963;2018-6-1
multas codigo de policia;presencial;2018;6;144215279;420;2018-6-1
otros ingresos;presencial;2018;6;6729178367;572;2018-6-1
otros ingresos tributarios;presencial;2018;6;30239159;19;2018-6-1
publicidad exterior visual;presencial;2018;6;106805028;409;2018-6-1
recursos fonset;presencial;2018;6;5462415000;93;2018-6-1
rentas contractuales;presencial;2018;6;1430653025;651;2018-6-1
retencion ica;presencial;2018;6;15744000;9;2018-6-1
servicios;presencial;2018;6;1416133791;26182;2018-6-1
sobretasa a la gasolina;presencial;2018;6;9163201000;8;2018-6-1
transferencias;presencial;2018;6;9255699071;34;2018-6-1
alumbrado publico;presencial;2018;7;5614964710;10768;2018-7-1
circulacion y transito;presencial;2018;7;3361096286;4342;2018-7-1
cuotas partes jubilatorias;presencial;2018;7;147261372;44;2018-7-1
deguello de ganado;presencial;2018;7;225873900;2;2018-7-1
delineacion urbana;presencial;2018;7;661433046;247;2018-7-1
espectaculos publicos;presencial;2018;7;219924735;14;2018-7-1
estampilla procultura;presencial;2018;7;173446490;10;2018-7-1
impuesto predial;presencial;2018;7;72461911475;119219;2018-7-1
impuesto telefonico;presencial;2018;7;2380921100;124;2018-7-1
industria y comercio;presencial;2018;7;65864851659;45274;2018-7-1
ingresos no tributarios;presencial;2018;7;15323280758;113724;2018-7-1
movilidad;presencial;2018;7;714018;4;2018-7-1
multas codigo de policia;presencial;2018;7;137125930;411;2018-7-1
otros ingresos;presencial;2018;7;44809278401;576;2018-7-1
otros ingresos tributarios;presencial;2018;7;15246155;9;2018-7-1
publicidad exterior visual;presencial;2018;7;160136869;453;2018-7-1
recursos fonset;presencial;2018;7;5110636802;99;2018-7-1
rentas contractuales;presencial;2018;7;4154443140;657;2018-7-1
retencion ica;presencial;2018;7;5417999104;702;2018-7-1
servicios;presencial;2018;7;1644343041;29839;2018-7-1
sobretasa a la gasolina;presencial;2018;7;8947234000;8;2018-7-1
transferencias;presencial;2018;7;9775145340;43;2018-7-1
alumbrado publico;presencial;2018;8;5624779585;1050;2018-8-1
circulacion y transito;presencial;2018;8;3098945556;2051;2018-8-1
cuotas partes jubilatorias;presencial;2018;8;99219967;28;2018-8-1
deguello de ganado;presencial;2018;8;236959100;2;2018-8-1
delineacion urbana;presencial;2018;8;1842564961;302;2018-8-1
espectaculos publicos;presencial;2018;8;770629248;17;2018-8-1
estampilla procultura;presencial;2018;8;143474000;12;2018-8-1
impuesto predial;presencial;2018;8;98089007568;216734;2018-8-1
impuesto telefonico;presencial;2018;8;2425623830;64;2018-8-1
industria y comercio;presencial;2018;8;57783592431;46671;2018-8-1
ingresos no tributarios;presencial;2018;8;15263103764;120258;2018-8-1
multas codigo de policia;presencial;2018;8;165181718;479;2018-8-1
otros ingresos;presencial;2018;8;16107299417;545;2018-8-1
otros ingresos tributarios;presencial;2018;8;27522934;2;2018-8-1
publicidad exterior visual;presencial;2018;8;188540182;554;2018-8-1
recursos fonset;presencial;2018;8;9145352000;109;2018-8-1
rentas contractuales;presencial;2018;8;3877093134;624;2018-8-1
retencion ica;presencial;2018;8;78632000;48;2018-8-1
servicios;presencial;2018;8;1601599692;29992;2018-8-1
sobretasa a la gasolina;presencial;2018;8;8977437000;8;2018-8-1
transferencias;presencial;2018;8;3344646151;44;2018-8-1
alumbrado publico;presencial;2018;9;5482371853;1489;2018-9-1
circulacion y transito;presencial;2018;9;1152153407;1377;2018-9-1
cuotas partes jubilatorias;presencial;2018;9;399876616;39;2018-9-1
deguello de ganado;presencial;2018;9;219990900;2;2018-9-1
delineacion urbana;presencial;2018;9;4720095416;314;2018-9-1
espectaculos publicos;presencial;2018;9;289388008;12;2018-9-1
estampilla procultura;presencial;2018;9;280202000;11;2018-9-1
impuesto predial;presencial;2018;9;37406641499;109386;2018-9-1
impuesto telefonico;presencial;2018;9;2403538662;39;2018-9-1
industria y comercio;presencial;2018;9;76189747929;43855;2018-9-1
ingresos no tributarios;presencial;2018;9;14772673460;121131;2018-9-1
multas codigo de policia;presencial;2018;9;225171011;372;2018-9-1
otros ingresos;presencial;2018;9;20851844996;524;2018-9-1
otros ingresos tributarios;presencial;2018;9;425768;1;2018-9-1
publicidad exterior visual;presencial;2018;9;111588056;361;2018-9-1
recursos fonset;presencial;2018;9;4515578000;122;2018-9-1
rentas contractuales;presencial;2018;9;3966114054;571;2018-9-1
retencion ica;presencial;2018;9;5567896408;668;2018-9-1
servicios;presencial;2018;9;1559290838;27851;2018-9-1
sobretasa a la gasolina;presencial;2018;9;9523844000;8;2018-9-1
transferencias;presencial;2018;9;3435154065;43;2018-9-1
alumbrado publico;presencial;2018;10;5419352739;313;2018-10-1
circulacion y transito;presencial;2018;10;3677656821;2396;2018-10-1
cuotas partes jubilatorias;presencial;2018;10;90714523;39;2018-10-1
deguello de ganado;presencial;2018;10;215920900;2;2018-10-1
delineacion urbana;presencial;2018;10;2217674154;354;2018-10-1
espectaculos publicos;presencial;2018;10;482476129;10;2018-10-1
estampilla procultura;presencial;2018;10;105690000;11;2018-10-1
impuesto predial;presencial;2018;10;98165316061;137417;2018-10-1
impuesto telefonico;presencial;2018;10;2270305615;43;2018-10-1
industria y comercio;presencial;2018;10;54891500229;45098;2018-10-1
ingresos no tributarios;presencial;2018;10;21553945955;130085;2018-10-1
multas codigo de policia;presencial;2018;10;139936865;405;2018-10-1
otros ingresos;presencial;2018;10;2,49395E+11;629;2018-10-1
otros ingresos tributarios;presencial;2018;10;5970579;1;2018-10-1
publicidad exterior visual;presencial;2018;10;123380439;431;2018-10-1
recursos fonset;presencial;2018;10;8346290407;122;2018-10-1
rentas contractuales;presencial;2018;10;3876461250;655;2018-10-1
retencion ica;presencial;2018;10;166691320;43;2018-10-1
servicios;presencial;2018;10;1733271456;31046;2018-10-1
sobretasa a la gasolina;presencial;2018;10;9106982000;8;2018-10-1
transferencias;presencial;2018;10;5999356764;40;2018-10-1
alumbrado publico;presencial;2018;11;5759159046;495;2018-11-1
circulacion y transito;presencial;2018;11;761056946;3175;2018-11-1
cuotas partes jubilatorias;presencial;2018;11;240744577;50;2018-11-1
deguello de ganado;presencial;2018;11;262275241;3;2018-11-1
delineacion urbana;presencial;2018;11;2028045204;324;2018-11-1
espectaculos publicos;presencial;2018;11;686173521;12;2018-11-1
estampilla procultura;presencial;2018;11;271873000;10;2018-11-1
impuesto predial;presencial;2018;11;68733987643;184708;2018-11-1
impuesto predial;virtual;2018;11;23985753;51;2018-11-1
impuesto telefonico;presencial;2018;11;1057643602;804;2018-11-1
industria y comercio;presencial;2018;11;61141101996;43414;2018-11-1
ingresos no tributarios;presencial;2018;11;54396362425;115360;2018-11-1
multas codigo de policia;presencial;2018;11;178487010;444;2018-11-1
otros ingresos;presencial;2018;11;2,78725E+11;544;2018-11-1
otros ingresos;virtual;2018;11;3060382;3;2018-11-1
publicidad exterior visual;presencial;2018;11;171400716;497;2018-11-1
publicidad exterior visual;virtual;2018;11;474000;2;2018-11-1
recursos fonset;presencial;2018;11;11542573002;124;2018-11-1
recursos fonset;virtual;2018;11;84200;1;2018-11-1
rentas contractuales;presencial;2018;11;3937407306;584;2018-11-1
retencion ica;presencial;2018;11;6371202573;965;2018-11-1
retencion ica;virtual;2018;11;21582000;5;2018-11-1
servicios;presencial;2018;11;1554810283;28796;2018-11-1
sobretasa a la gasolina;presencial;2018;11;9416808000;8;2018-11-1
transferencias;presencial;2018;11;7753290520;39;2018-11-1
alumbrado publico;presencial;2018;12;182464006;1055;2018-12-1
alumbrado publico;virtual;2018;12;74125218;2;2018-12-1
circulacion y transito;presencial;2018;12;1272073838;2426;2018-12-1
circulacion y transito;virtual;2018;12;12626848;127;2018-12-1
cuotas partes jubilatorias;presencial;2018;12;1132528835;58;2018-12-1
deguello de ganado;presencial;2018;12;172434800;1;2018-12-1
deguello de ganado;virtual;2018;12;75594700;1;2018-12-1
delineacion urbana;presencial;2018;12;2345005479;392;2018-12-1
delineacion urbana;virtual;2018;12;511010000;15;2018-12-1
espectaculos publicos;presencial;2018;12;24056754;4;2018-12-1
espectaculos publicos;virtual;2018;12;563851392;3;2018-12-1
estampilla procultura;presencial;2018;12;13793000;1;2018-12-1
estampilla procultura;virtual;2018;12;134430000;8;2018-12-1
impuesto predial;presencial;2018;12;47778818869;137844;2018-12-1
impuesto predial;virtual;2018;12;5888836013;9427;2018-12-1
impuesto telefonico;presencial;2018;12;3392861443;2206;2018-12-1
industria y comercio;presencial;2018;12;31853670779;35347;2018-12-1
industria y comercio;virtual;2018;12;17361204627;8536;2018-12-1
ingresos no tributarios;presencial;2018;12;19256802054;115849;2018-12-1
ingresos no tributarios;virtual;2018;12;144293013;17;2018-12-1
movilidad;presencial;2018;12;156200;1;2018-12-1
multas codigo de policia;presencial;2018;12;109490162;310;2018-12-1
otros ingresos;presencial;2018;12;2,89107E+11;472;2018-12-1
otros ingresos;virtual;2018;12;7998682785;189;2018-12-1
otros ingresos tributarios;presencial;2018;12;37973732;1;2018-12-1
publicidad exterior visual;presencial;2018;12;129207897;393;2018-12-1
publicidad exterior visual;virtual;2018;12;18785116;86;2018-12-1
recursos fonset;presencial;2018;12;8824545093;6;2018-12-1
recursos fonset;virtual;2018;12;2502572932;178;2018-12-1
rentas contractuales;presencial;2018;12;3754034937;543;2018-12-1
rentas contractuales;virtual;2018;12;254085338;45;2018-12-1
retencion ica;virtual;2018;12;205895828;85;2018-12-1
servicios;presencial;2018;12;2094889166;41074;2018-12-1
sobretasa a la gasolina;presencial;2018;12;9205904000;8;2018-12-1
transferencias;presencial;2018;12;10502513898;12;2018-12-1
transferencias;virtual;2018;12;1128331488;28;2018-12-1
alumbrado publico;presencial;2019;1;10726738868;257;2019-1-1
circulacion y transito;presencial;2019;1;1438308773;3188;2019-1-1
circulacion y transito;virtual;2019;1;4473716;58;2019-1-1
cuotas partes jubilatorias;presencial;2019;1;240732981;32;2019-1-1
deguello de ganado;presencial;2019;1;184696600;1;2019-1-1
deguello de ganado;virtual;2019;1;80415800;1;2019-1-1
delineacion urbana;presencial;2019;1;1122528712;182;2019-1-1
delineacion urbana;virtual;2019;1;129389000;4;2019-1-1
espectaculos publicos;presencial;2019;1;116909095;5;2019-1-1
espectaculos publicos;virtual;2019;1;70853242;4;2019-1-1
estampilla procultura;presencial;2019;1;259246000;3;2019-1-1
estampilla procultura;virtual;2019;1;244629000;8;2019-1-1
impuesto predial;presencial;2019;1;16441741167;28637;2019-1-1
impuesto predial;virtual;2019;1;4402373384;3825;2019-1-1
impuesto telefonico;presencial;2019;1;2592385306;78;2019-1-1
industria y comercio;presencial;2019;1;12559149047;28793;2019-1-1
industria y comercio;virtual;2019;1;15233415978;8651;2019-1-1
ingresos no tributarios;presencial;2019;1;16379540851;140083;2019-1-1
ingresos no tributarios;virtual;2019;1;74392951;9;2019-1-1
multas codigo de policia;presencial;2019;1;148512193;451;2019-1-1
otros ingresos;presencial;2019;1;2004460835;365;2019-1-1
otros ingresos;virtual;2019;1;1305423505;79;2019-1-1
publicidad exterior visual;presencial;2019;1;72273838;231;2019-1-1
publicidad exterior visual;virtual;2019;1;5941000;28;2019-1-1
recursos fonset;presencial;2019;1;12635465000;8;2019-1-1
recursos fonset;virtual;2019;1;6677994665;44;2019-1-1
rentas contractuales;presencial;2019;1;3822742985;587;2019-1-1
rentas contractuales;virtual;2019;1;135641918;24;2019-1-1
retencion ica;presencial;2019;1;1910713059;236;2019-1-1
retencion ica;virtual;2019;1;5162715334;720;2019-1-1
servicios;presencial;2019;1;1880794197;35280;2019-1-1
servicios;virtual;2019;1;272748;1;2019-1-1
sobretasa a la gasolina;presencial;2019;1;10127131000;8;2019-1-1
sobretasa a la gasolina;virtual;2019;1;262000;1;2019-1-1
transferencias;presencial;2019;1;1988832829;8;2019-1-1
transferencias;virtual;2019;1;1259546954;33;2019-1-1
alumbrado publico;presencial;2019;2;1758671346;331;2019-2-1
alumbrado publico;virtual;2019;2;36227;1;2019-2-1
circulacion y transito;presencial;2019;2;4659441363;3095;2019-2-1
circulacion y transito;virtual;2019;2;6091644;95;2019-2-1
cuotas partes jubilatorias;presencial;2019;2;112277514;37;2019-2-1
deguello de ganado;presencial;2019;2;249785400;2;2019-2-1
delineacion urbana;presencial;2019;2;2245818855;312;2019-2-1
delineacion urbana;virtual;2019;2;1463466000;17;2019-2-1
espectaculos publicos;presencial;2019;2;61381141;3;2019-2-1
espectaculos publicos;virtual;2019;2;398479076;6;2019-2-1
estampilla procultura;presencial;2019;2;7316000;1;2019-2-1
estampilla procultura;virtual;2019;2;83273000;4;2019-2-1
impuesto predial;presencial;2019;2;2,67587E+11;549706;2019-2-1
impuesto predial;virtual;2019;2;53845666923;31188;2019-2-1
impuesto telefonico;presencial;2019;2;2311088622;67;2019-2-1
industria y comercio;presencial;2019;2;14797289577;32843;2019-2-1
